name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,honsid,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff,before_after
Richard Wilkins TV presenter,M,Yes,AM,NSW,2014-06-09,2014,Post,https://en.wikipedia.org/wiki/Richard_Wilkins_(TV_presenter),3546126,1150137,2005-12-28,2014-06-09,2005,2014,Member of the Order of Australia,The Queen's Birthday 2014 Honours List,G,"For significant service to the community through a range of charities, and to the entertainment industry.",Australian television presenter,1,2014-06-09,2014,2005,-3085,-9,2005-W52,2014-W24,-441,before Honours
Richard Wilson general,M,Yes,AO,QLD,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/Richard_Wilson_(general),17289450,1139671,2008-05-06,2009-01-26,2008,2009,Officer of the Order of Australia,Australia Day 2009 Honours List,M,"For distinguished service to the Australian Army in the fields of force structure, personnel training and operations, particularly as Commander Training Command - Army and as the Commander of the 1st Division.",senior officer in the Australian Army,1,2009-01-26,2009,2008,-265,-1,2008-W19,2009-W05,-38,before Honours
Rick Burr,M,Yes,AO,ACT,2018-01-26,2018,Post,https://en.wikipedia.org/wiki/Rick_Burr,32678229,2000880,2011-08-08,2018-01-26,2011,2018,Officer of the Order of Australia,Australia Day 2018 Honours List,M,For distinguished service in the implementation of significant reform and the realisation of strategic capabilities within the Australian Defence Force.,senior officer in the Australian Army,1,2018-01-26,2018,2011,-2363,-7,2011-W32,2018-W04,-338,before Honours
Rick Pendleton,M,Yes,OAM,NSW,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/Rick_Pendleton,33300667,1140093,2011-10-04,2009-01-26,2011,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Paralympic Games.,Australian Paralympic swimmer,1,2009-01-26,2009,2011,981,2,2011-W40,2009-W05,140,on or after honours
Ricky Grace,M,Yes,AM,WA,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Ricky_Grace,3665514,2004244,2006-01-09,2019-06-10,2006,2019,Member of the Order of Australia,Queen's Birthday 2019 Honours List,G,For significant service to the Indigenous community of Western Australia.,American-Australian basketball player,1,2019-06-10,2019,2006,-4900,-13,2006-W02,2019-W24,-700,before Honours
Ricky Ponting,M,Yes,AO,NSW,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/Ricky_Ponting,462001,1145066,2004-02-09,2012-01-26,2004,2012,Officer of the Order of Australia,Australia Day 2012 Honours List,G,"For distinguished service to the sport of cricket as a leading player at the national and international level, and to the community through the establishment of the Ponting Foundation.",Australian cricketer,1,2012-01-26,2012,2004,-2908,-8,2004-W07,2012-W04,-416,before Honours
Rob Atkinson surgeon,M,Yes,AM,SA,2008-06-09,2008,Post,https://en.wikipedia.org/wiki/Rob_Atkinson_(surgeon),41806205,1138615,2014-02-01,2008-06-09,2014,2008,Member of the Order of Australia,The Queen's Birthday 2008 Honours List,G,For service to medicine as an orthopaedic surgeon and through contributions to professional associations.,Australian surgeon,1,2008-06-09,2008,2014,2063,6,2014-W05,2008-W24,294,on or after honours
Rob Borbidge,M,Yes,AO,QLD,2006-01-26,2006,Post,https://en.wikipedia.org/wiki/Rob_Borbidge,951421,1131293,2004-09-02,2006-01-26,2004,2006,Officer of the Order of Australia,Australia Day 2006 Honours List,G,"For service to economic development in Queensland through promoting business and investment opportunities, the initiation of major infrastructure projects, and attracting internationally acclaimed events; and to the community, particularly through support for biomedical research and educational organisations.",Australian politician,1,2006-01-26,2006,2004,-511,-2,2004-W36,2006-W04,-73,before Honours
Rob Johnson Australian politician,M,Yes,OAM,WA,2019-01-26,2019,Post,https://en.wikipedia.org/wiki/Rob_Johnson_(Australian_politician),5186993,2003342,2006-05-18,2019-01-26,2006,2019,Medal of the Order of Australia,Australia Day 2019 Honours List,G,For service to the Parliament and community of Western Australia.,Australian politician,1,2019-01-26,2019,2006,-4636,-13,2006-W20,2019-W04,-663,before Honours
Rob Morrison scientist,M,Yes,OAM,SA,2004-01-26,2004,Post,https://en.wikipedia.org/wiki/Rob_Morrison_(scientist),52761629,1056343,2017-01-03,2004-01-26,2017,2004,Medal of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to conservation and the environment, and to the fields of science education and communication.",Australian zoological researcher and science communicator,1,2004-01-26,2004,2017,4726,13,2017-W01,2004-W05,675,on or after honours
Rob Mundle,M,Yes,OAM,QLD,2013-06-10,2013,Post,https://en.wikipedia.org/wiki/Rob_Mundle,64483139,1148171,2020-07-07,2013-06-10,2020,2013,Medal of the Order of Australia,The Queen's Birthday 2013 Honours List,G,"For service to sailing, and to journalism.","Australian yachtsman, maritime commentator and author",1,2013-06-10,2013,2020,2584,7,2020-W28,2013-W24,369,on or after honours
Robbie McEwen,M,Yes,AM,QLD,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Robbie_McEwen,1484348,1154753,2005-02-09,2017-01-26,2005,2017,Member of the Order of Australia,Australia Day 2017 Honours List,G,"For significant service to cycling at the national and international level as a competitor, coach, and advisor, and to the community.",Australian cyclist,1,2017-01-26,2017,2005,-4369,-12,2005-W06,2017-W04,-625,before Honours
Robert Bell artist and curator,M,Yes,AM,ACT,2010-06-14,2010,Post,https://en.wikipedia.org/wiki/Robert_Bell_(artist_and_curator),58276387,1142631,2018-08-26,2010-06-14,2018,2010,Member of the Order of Australia,The Queen's Birthday 2010 Honours List,G,"For service to contemporary craft and design as a curator and advocate, and to the Art Gallery of Western Australia and the National Gallery of Australia.",Australian artist and curator,1,2010-06-14,2010,2018,2995,8,2018-W34,2010-W24,427,on or after honours
Robert Champion de Crespigny,M,Yes,AC,SA,2002-06-10,2002,Post,https://en.wikipedia.org/wiki/Robert_Champion_de_Crespigny,5783406,1040406,2006-07-01,2002-06-10,2006,2002,Companion of the Order of Australia,The Queen's Birthday 2002 Honours List,NA,"For  service to the mining industry, to business, and to the community in the areas of cultural preservation and education.",Australian businessman,1,2002-06-10,2002,2006,1482,4,2006-W26,2002-W24,211,on or after honours
Robert Clancy doctor,M,Yes,AM,NSW,2005-06-13,2005,Post,https://en.wikipedia.org/wiki/Robert_Clancy_(doctor),20145591,1135928,2008-11-10,2005-06-13,2008,2005,Member of the Order of Australia,The Queen's Birthday 2005 Honours List,G,"For service to cartography as a collector and curator of early maps of Australia, and to medicine in the field of immunology.",Australian immunologist,1,2005-06-13,2005,2008,1246,3,2008-W46,2005-W24,178,on or after honours
Robert Clark physicist,M,Yes,AO,NSW,2013-01-26,2013,Post,https://en.wikipedia.org/wiki/Robert_Clark_(physicist),47119138,1146695,2015-07-01,2013-01-26,2015,2013,Officer of the Order of Australia,Australia Day 2013 Honours List,G,For distinguished service to science and technology through leadership and governance of the scientific community of the Australian Defence Force and through contributions to quantum computing and nanotechnology.,Australian physicist,1,2013-01-26,2013,2015,886,2,2015-W27,2013-W04,126,on or after honours
Robert Cornall,M,Yes,AO,ACT,2006-01-26,2006,Post,https://en.wikipedia.org/wiki/Robert_Cornall,41806993,1131301,2014-02-01,2006-01-26,2014,2006,Officer of the Order of Australia,Australia Day 2006 Honours List,G,"For service to the community through contributions to the development of public policy, particularly counter terrorism arrangements in a changing global security environment; and through providing advice and governance across a diverse range of responsibilities within the civil justice system.",Australian public servant,1,2006-01-26,2006,2014,2928,8,2014-W05,2006-W04,418,on or after honours
Robert de Castella,M,Yes,AO,ACT,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Robert_de_Castella,1131264,1148831,2004-11-04,2014-01-26,2004,2014,Officer of the Order of Australia,Australia Day 2014 Honours List,G,"For distinguished service to the community through programs promoting children's health and fitness, as a supporter and mentor of young Indigenous men and women, and to marathon running.",Australian long distance runner,1,2014-01-26,2014,2004,-3370,-10,2004-W45,2014-W04,-482,before Honours
Robert Dickerson,M,Yes,AO,NSW,2013-06-10,2013,Post,https://en.wikipedia.org/wiki/Robert_Dickerson,2918156,1147737,2005-10-16,2013-06-10,2005,2013,Officer of the Order of Australia,The Queen's Birthday 2013 Honours List,G,"For distinguished service to the visual arts as a figurative painter, and to the community through support for a range of cultural, medical research and social welfare organisations.",Australian artist (1924-2015),1,2013-06-10,2013,2005,-2794,-8,2005-W41,2013-W24,-400,before Honours
Robert Doyle,M,Yes,AC,VIC,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Robert_Doyle,894636,1769656,2004-08-12,2017-06-12,2004,2017,Companion of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For eminent service to the people of Melbourne through roles in local government, to the Parliament of Victoria, particularly in the areas of health and public administration, and to the community as a supporter of youth, social welfare and medical research foundations.",Australian politician,1,2017-06-12,2017,2004,-4687,-13,2004-W33,2017-W24,-670,before Honours
Robert F Willard,M,Yes,AO,Other,2012-03-08,2012,Post,https://en.wikipedia.org/wiki/Robert_F._Willard,5711929,1144988,2006-06-26,2012-03-08,2006,2012,Officer of the Order of Australia,Honorary Military Award,HM,"For distinguished service to the military relationship between Australia and the United States of America as Commander, United States Pacific Command.",United States Navy admiral,1,2012-03-08,2012,2006,-2082,-6,2006-W26,2012-W10,-298,before Honours
Robert Fordham,M,Yes,AM,VIC,2013-01-26,2013,Post,https://en.wikipedia.org/wiki/Robert_Fordham,32048942,1146766,2011-06-11,2013-01-26,2011,2013,Member of the Order of Australia,Australia Day 2013 Honours List,G,"For significant service to the Parliament of Victoria, to education, to the Anglican Church in Australia, and to tourism and economic development.",Australian politician; Member of the Victorian Legislative Assembly; Deputy Premier of Victoria,1,2013-01-26,2013,2011,-595,-2,2011-W23,2013-W04,-85,before Honours
Robert French,M,Yes,AC,WA,2010-01-26,2010,Post,https://en.wikipedia.org/wiki/Robert_French,18641710,1141683,2008-07-30,2010-01-26,2008,2010,Companion of the Order of Australia,Australia Day 2010 Honours List,G,"For eminent service to the law and to the judiciary, to legal education and administration in the areas of constitutional, competition and native title law, and to legal reform.",Australian judge,1,2010-01-26,2010,2008,-545,-2,2008-W31,2010-W04,-78,before Honours
Robert Gotterson,M,Yes,AO,QLD,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Robert_Gotterson,40734444,1148837,2013-10-08,2014-01-26,2013,2014,Officer of the Order of Australia,Australia Day 2014 Honours List,G,"For distinguished service to the judiciary and to the law, to legal education, administration and professional standards through a range of senior roles, and to the community of Queensland.",Australian judge,1,2014-01-26,2014,2013,-110,-1,2013-W41,2014-W04,-16,before Honours
Robert Gottliebsen,M,Yes,AM,VIC,2018-06-11,2018,Post,https://en.wikipedia.org/wiki/Robert_Gottliebsen,28333631,2001416,2010-08-12,2018-06-11,2010,2018,Member of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For significant service to the print media as a journalist, editor and business analyst, and to education through school governance roles.",Australian journalist,1,2018-06-11,2018,2010,-2860,-8,2010-W32,2018-W24,-409,before Honours
Robert Hammond,M,Yes,OAM,QLD,2005-01-26,2005,Post,https://en.wikipedia.org/wiki/Robert_Hammond,34990691,1057890,2006-02-12,2005-01-26,2006,2005,Medal of the Order of Australia,Australia Day 2005 Honours List,NA,For service to sport as a Gold Medallist at the Athens 2004 Olympic Games.,Australian male field hockey player,1,2005-01-26,2005,2006,382,1,2006-W06,2005-W04,54,on or after honours
Robert Hill Australian politician,M,Yes,AC,SA,2012-06-11,2012,Post,https://en.wikipedia.org/wiki/Robert_Hill_(Australian_politician),1013237,1145729,2004-09-24,2012-06-11,2004,2012,Companion of the Order of Australia,The Queen's Birthday 2012 Honours List,G,"For eminent service to the Parliament of Australia, particularly through the development of policy reform in the portfolios of the environment and defence, and to Australia's international relations through senior diplomatic representation to the United Nations.",Australian politician,1,2012-06-11,2012,2004,-2817,-8,2004-W39,2012-W24,-403,before Honours
Robert Hughes composer,M,Yes,AO,SA,2005-01-26,2005,Post,https://en.wikipedia.org/wiki/Robert_Hughes_(composer),17916088,1057564,2008-06-13,2005-01-26,2008,2005,Officer of the Order of Australia,Australia Day 2005 Honours List,NA,"For service to the arts through music, particularly as a composer, and for the promotion of Australian music through representative organisations for musicians.",Australian composer,1,2005-01-26,2005,2008,1234,3,2008-W24,2005-W04,176,on or after honours
Robert Ingpen,M,Yes,AM,VIC,2007-01-26,2007,Post,https://en.wikipedia.org/wiki/Robert_Ingpen,2171316,1133779,2005-07-05,2007-01-26,2005,2007,Member of the Order of Australia,Australia Day 2007 Honours List,G,"For service to literature as an illustrator and author of children's books, to art design and education, and as a supporter of health care organisations.",Australian artist and children's illustrator,1,2007-01-26,2007,2005,-570,-2,2005-W27,2007-W04,-82,before Honours
Robert Jacks,M,Yes,AO,VIC,2006-01-26,2006,Post,https://en.wikipedia.org/wiki/Robert_Jacks,10905676,1131311,2007-04-26,2006-01-26,2007,2006,Officer of the Order of Australia,Australia Day 2006 Honours List,G,"For service to Australian art as a painter, sculptor, printmaker and educator, and through support for emerging young artists.","Australian painter, sculptor and printmaker (1943-2014)",1,2006-01-26,2006,2007,455,1,2007-W17,2006-W04,65,on or after honours
Robert Juniper,M,Yes,AM,WA,2011-01-26,2011,Post,https://en.wikipedia.org/wiki/Robert_Juniper,11387527,1143464,2007-05-24,2011-01-26,2007,2011,Member of the Order of Australia,Australia Day 2011 Honours List,G,"For service to the visual arts, particularly as an Australian landscape painter and contemporary artist.",Australian artist (1929-2012),1,2011-01-26,2011,2007,-1343,-4,2007-W21,2011-W04,-192,before Honours
Robert L Joss,M,Yes,AC,NSW,2016-01-26,2016,Post,https://en.wikipedia.org/wiki/Robert_L._Joss,19686717,1152653,2008-10-10,2016-01-26,2008,2016,Companion of the Order of Australia,Australia Day 2016 Honours List,G,"For eminent service to business and finance through executive roles with major banking institutions, and as a contributor to taxation policy and reform, to education as an academic and administrator, to professional organisations, and to the community.",American businessman,1,2016-01-26,2016,2008,-2664,-8,2008-W41,2016-W04,-381,before Honours
Robert MorrisNunn,M,Yes,AM,TAS,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Robert_Morris-Nunn,46612106,1154768,2015-05-05,2017-01-26,2015,2017,Member of the Order of Australia,Australia Day 2017 Honours List,G,"For significant service to commercial architecture in Tasmania, to tertiary education, to professional institutes, and as a role model.",Australian architect,1,2017-01-26,2017,2015,-632,-2,2015-W19,2017-W04,-91,before Honours
Robert Nicholson judge,M,Yes,AO,WA,2002-01-26,2002,Post,https://en.wikipedia.org/wiki/Robert_Nicholson_(judge),4780240,1132173,2006-04-17,2002-01-26,2006,2002,Officer of the Order of Australia,Australia Day 2002 Honours List,G,"For service to the judiciary and to the law, to education, particularly in the area of university administration, and to the community.",Australian judge,1,2002-01-26,2002,2006,1542,4,2006-W16,2002-W04,220,on or after honours
Robert Oatey,M,Yes,OAM,SA,2008-01-26,2008,Post,https://en.wikipedia.org/wiki/Robert_Oatey,43007125,1137753,2014-06-09,2008-01-26,2014,2008,Medal of the Order of Australia,Australia Day 2008 Honours List,G,For service to Australian Rules football as a coach and as a contributor to the development of younger players.,Australian footballer and coach,1,2008-01-26,2008,2014,2326,6,2014-W24,2008-W04,332,on or after honours
Robert Penfold,M,Yes,AM,Other,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Robert_Penfold,29116592,2005873,2010-10-09,2020-01-26,2010,2020,Member of the Order of Australia,Australia Day 2020 Honours List,G,"For significant service to the broadcast media, and to journalism.",Australian journalist,1,2020-01-26,2020,2010,-3396,-10,2010-W40,2020-W04,-486,before Honours
Robert Redlich,M,Yes,AM,VIC,2020-06-07,2020,Post,https://en.wikipedia.org/wiki/Robert_Redlich,40708921,2007158,2013-10-05,2020-06-07,2013,2020,Member of the Order of Australia,The Queen's Birthday 2020 Honours List,G,"For significant service to the law, and to the judiciary, to professional groups, and to the community.",Australian judge,1,2020-06-07,2020,2013,-2437,-7,2013-W40,2020-W23,-349,before Honours
Robert Solomon politician,M,Yes,AM,NSW,2010-06-14,2010,Post,https://en.wikipedia.org/wiki/Robert_Solomon_(politician),20130616,1142735,2008-11-09,2010-06-14,2008,2010,Member of the Order of Australia,The Queen's Birthday 2010 Honours List,G,"For service to urban affairs, particularly through research, public discussion and policy development by the Australian Institute of Urban Studies, to the Association of Former Members of Parliament, and to athletics.",Australian politician,1,2010-06-14,2010,2008,-582,-2,2008-W45,2010-W24,-84,before Honours
Robert Stable,M,Yes,AM,QLD,2013-01-26,2013,Post,https://en.wikipedia.org/wiki/Robert_Stable,14890290,1146849,2007-12-26,2013-01-26,2007,2013,Member of the Order of Australia,Australia Day 2013 Honours List,G,For significant service to the community of Queensland through innovative and strategic management in the areas of tertiary education and health.,Australian doctor,1,2013-01-26,2013,2007,-1858,-6,2007-W52,2013-W04,-266,before Honours
Robert Stanley Pontifex,M,Yes,AM,SA,2016-01-26,2016,Post,https://en.wikipedia.org/wiki/Robert_Stanley_Pontifex,49222401,1152834,2016-01-26,2016-01-26,2016,2016,Member of the Order of Australia,Australia Day 2016 Honours List,G,"For significant service to the community of South Australia, particularly through support for the arts.","resident of North Adelaide, South Australia",1,2016-01-26,2016,2016,0,0,2016-W04,2016-W04,0,on or after honours
Robert Taylor Australian actor,M,Yes,OAM,VIC,2019-01-26,2019,Post,https://en.wikipedia.org/wiki/Robert_Taylor_(Australian_actor),5857368,2002862,2006-07-07,2019-01-26,2006,2019,Medal of the Order of Australia,Australia Day 2019 Honours List,G,For service to the community of St Kilda.,Australian actor,1,2019-01-26,2019,2006,-4586,-13,2006-W27,2019-W04,-656,before Honours
Robert Tickner,M,Yes,AO,NSW,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Robert_Tickner,14933190,1769715,2007-12-29,2017-06-12,2007,2017,Officer of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For distinguished service to the community through leadership roles with the Australian Red Cross, and to the Parliament of Australia.",Australian politician,1,2017-06-12,2017,2007,-3453,-10,2007-W52,2017-W24,-494,before Honours
Robert Wade watercolour artist,M,Yes,OAM,VIC,2003-01-26,2003,Post,https://en.wikipedia.org/wiki/Robert_Wade_(watercolour_artist),8753092,1042882,2007-01-05,2003-01-26,2007,2003,Medal of the Order of Australia,Australia Day 2003 Honours List,NA,"For service to watercolour painting as an artist, educator and promoter of Australian art.",Australian artist,1,2003-01-26,2003,2007,1440,4,2007-W01,2003-W04,205,on or after honours
Robert Williamson physician,M,Yes,AO,VIC,2004-01-26,2004,Post,https://en.wikipedia.org/wiki/Robert_Williamson_(physician),58127707,1055963,2018-08-13,2004-01-26,2018,2004,Officer of the Order of Australia,Australia Day 2004 Honours List,NA,"For service as a biomedical research scientist in the field of human genetics, as an educator and administrator, and as a major contributor to the debate on ethical issues related to genetics practice.",Australian molecular biologist,1,2004-01-26,2004,2018,5313,14,2018-W33,2004-W05,759,on or after honours
Robie Porter,M,Yes,OAM,NSW,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Robie_Porter,8312215,1770205,2006-12-07,2017-06-12,2006,2017,Medal of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For service to the music industry as a producer, writer and performer.",Australian musician,1,2017-06-12,2017,2006,-3840,-11,2006-W49,2017-W24,-549,before Honours
Robin Batterham,M,Yes,AO,VIC,2004-01-26,2004,Post,https://en.wikipedia.org/wiki/Robin_Batterham,19549787,1055925,2008-10-01,2004-01-26,2008,2004,Officer of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to science, engineering and technology through promoting collaboration, excellence and innovation to enable Australian industry to remain internationally competitive and innovative.","Chief Scientist of Australia, 1999 to 2006",1,2004-01-26,2004,2008,1710,4,2008-W40,2004-W05,244,on or after honours
Robin Creyke,F,Yes,AO,ACT,2018-06-11,2018,Post,https://en.wikipedia.org/wiki/Robin_Creyke,61739689,2001528,2019-09-10,2018-06-11,2019,2018,Officer of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For distinguished service to administrative law, and to education, as an academic and author, to public administration and tribunal practice, and to professional bodies.",Australian legal academic,1,2018-06-11,2018,2019,456,1,2019-W37,2018-W24,65,on or after honours
Robin Dalton,F,Yes,AM,Other,2013-06-10,2013,Post,https://en.wikipedia.org/wiki/Robin_Dalton,59297941,1147790,2018-12-07,2013-06-10,2018,2013,Member of the Order of Australia,The Queen's Birthday 2013 Honours List,G,"For significant service to the film industry as a producer, literary agent and author, and as a mentor to emerging actors and writers.",NA,1,2013-06-10,2013,2018,2006,5,2018-W49,2013-W24,286,on or after honours
Robin Morrow,M,Yes,AM,NSW,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Robin_Morrow,26745607,1148948,2010-03-29,2014-01-26,2010,2014,Member of the Order of Australia,Australia Day 2014 Honours List,G,"For significant service to children's literature, and through leadership roles with a range of professional associations.",Australian writer and academic,1,2014-01-26,2014,2010,-1399,-4,2010-W13,2014-W04,-200,before Honours
Robin Warren,M,Yes,AC,WA,2007-01-26,2007,Post,https://en.wikipedia.org/wiki/Robin_Warren,1012234,1133681,2004-09-24,2007-01-26,2004,2007,Companion of the Order of Australia,Australia Day 2007 Honours List,G,"For service to medicine and to medical research, particularly through the discovery of the bacterium Helicobacter Pylori and its role in gastritis and peptic ulcer disease.",Australian microbiologist and Nobel Laureate,1,2007-01-26,2007,2004,-854,-3,2004-W39,2007-W04,-122,before Honours
Robyn Alders,F,Yes,AO,NSW,2011-01-26,2011,Post,https://en.wikipedia.org/wiki/Robyn_Alders,44260095,1143409,2014-10-31,2011-01-26,2014,2011,Officer of the Order of Australia,Australia Day 2011 Honours List,G,"For distinguished service to veterinary science as a researcher and educator, to the maintenance of food security in developing countries through livestock management and disease control programs, and to the Australian poultry industry.",Veterinary scientist,1,2011-01-26,2011,2014,1374,3,2014-W44,2011-W04,196,on or after honours
Robyn Guymer,F,Yes,AM,VIC,2018-06-11,2018,Post,https://en.wikipedia.org/wiki/Robyn_Guymer,61939298,2001856,2019-10-02,2018-06-11,2019,2018,Member of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For significant service to medicine in the field of ophthalmology, particularly age related macular degeneration as a clinician, academic and researcher.",ophthalmologist and researcher,1,2018-06-11,2018,2019,478,1,2019-W40,2018-W24,68,on or after honours
Robyn Kruk,F,Yes,AO,NSW,2018-06-11,2018,Post,https://en.wikipedia.org/wiki/Robyn_Kruk,41765526,2001270,2014-01-28,2018-06-11,2014,2018,Officer of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For distinguished service to public administration, particularly through mental health reform, to environmental protection and natural resource management, and to food standards.",Australian public servant,1,2018-06-11,2018,2014,-1595,-4,2014-W05,2018-W24,-228,before Honours
Robyn Layton,F,Yes,AO,SA,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/Robyn_Layton,55930246,1145060,2017-11-30,2012-01-26,2017,2012,Officer of the Order of Australia,Australia Day 2012 Honours List,G,"For distinguished service to the law and to the judiciary, particularly through the Supreme Court of South Australia, as an advocate for Indigenous, refugee and children's rights, and to the community.",Australian judge,1,2012-01-26,2012,2017,2135,5,2017-W48,2012-W04,305,on or after honours
Robyn Maher,F,Yes,AM,Other,2002-01-26,2002,Post,https://en.wikipedia.org/wiki/Robyn_Maher,18530677,1132290,2008-07-22,2002-01-26,2008,2002,Member of the Order of Australia,Australia Day 2002 Honours List,G,"For service to basketball as a player and administrator, and for the promotion of the sport among young people.",basketball player,1,2002-01-26,2002,2008,2369,6,2008-W30,2002-W04,338,on or after honours
Robyn Walker,F,Yes,AM,ACT,2010-01-26,2010,Post,https://en.wikipedia.org/wiki/Robyn_Walker,41239190,1141858,2013-12-01,2010-01-26,2013,2010,Member of the Order of Australia,Australia Day 2010 Honours List,M,For exceptional service as a medical officer in the Australian Defence Force.,Royal Australian Navy admiral,1,2010-01-26,2010,2013,1405,3,2013-W48,2010-W04,200,on or after honours
Rod Boswell,M,Yes,AM,ACT,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/Rod_Boswell,40131746,1145090,2013-08-02,2012-01-26,2013,2012,Member of the Order of Australia,Australia Day 2012 Honours List,G,For service to science in the field of plasma physics as an academic and researcher and through contributions to the international scientific community.,Australian physicist,1,2012-01-26,2012,2013,554,1,2013-W31,2012-W04,79,on or after honours
Rod Eddington,M,Yes,AO,VIC,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/Rod_Eddington,1090606,1145055,2004-10-22,2012-01-26,2004,2012,Officer of the Order of Australia,Australia Day 2012 Honours List,G,"For distinguished service to business and commerce through roles with a range of national and international economic, trade, infrastructure development and transport organisations.",Australian cricketer and businessman,1,2012-01-26,2012,2004,-2652,-8,2004-W43,2012-W04,-379,before Honours
Rod Laver,M,Yes,AC,QLD,2016-01-26,2016,Post,https://en.wikipedia.org/wiki/Rod_Laver,221421,1152654,2003-05-05,2016-01-26,2003,2016,Companion of the Order of Australia,Australia Day 2016 Honours List,G,"For eminent service to tennis as a player, representative and mentor, at the national and international level, and as a role model for young sportsmen and women.",Australian tennis player,1,2016-01-26,2016,2003,-4649,-13,2003-W19,2016-W04,-665,before Honours
Rod Macqueen,M,Yes,AM,NSW,2003-01-26,2003,Post,https://en.wikipedia.org/wiki/Rod_Macqueen,4534142,1042229,2006-03-28,2003-01-26,2006,2003,Member of the Order of Australia,Australia Day 2003 Honours List,NA,"For service to sport, particularly Rugby Union football as coach of the Australian Wallabies.",Australian rugby union coach,1,2003-01-26,2003,2006,1157,3,2006-W13,2003-W04,165,on or after honours
Rod Quantock,M,Yes,OAM,VIC,2015-06-08,2015,Post,https://en.wikipedia.org/wiki/Rod_Quantock,3807230,1152174,2006-01-22,2015-06-08,2006,2015,Medal of the Order of Australia,The Queen's Birthday 2015 Honours List,G,"For service to the performing arts, and to conservation and sustainability.",Australian comedian,1,2015-06-08,2015,2006,-3424,-9,2006-W03,2015-W24,-490,before Honours
Roderick Carnegie,M,Yes,AC,VIC,2003-06-09,2003,Post,https://en.wikipedia.org/wiki/Roderick_Carnegie,23822334,1043207,2009-08-01,2003-06-09,2009,2003,Companion of the Order of Australia,The Queen's Birthday 2003 Honours List,G,"In recognition of service to the promotion of innovative leadership and to the development of competitive practices in business, both national and international, and to the community, particularly in the health and arts fields.",Australian businessman,1,2003-06-09,2003,2009,2245,6,2009-W31,2003-W24,320,on or after honours
Roderick Meagher,M,Yes,AO,NSW,2005-01-26,2005,Post,https://en.wikipedia.org/wiki/Roderick_Meagher,4647278,1057571,2006-04-06,2005-01-26,2006,2005,Officer of the Order of Australia,Australia Day 2005 Honours List,NA,"For service to the judiciary, to legal scholarship and professional development, and to the arts.",Australian judge,1,2005-01-26,2005,2006,435,1,2006-W14,2005-W04,62,on or after honours
Rodney Cavalier,M,Yes,AO,NSW,2004-01-26,2004,Post,https://en.wikipedia.org/wiki/Rodney_Cavalier,25674140,1055928,2010-01-04,2004-01-26,2010,2004,Officer of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to the community as a contributor to a range of cultural, literary and sporting organisations, to education and training, and to the New South Wales Parliament.",New South Wales politician,1,2004-01-26,2004,2010,2170,6,2010-W01,2004-W05,310,on or after honours
Rodney Croome,M,Yes,AM,TAS,2003-06-09,2003,Post,https://en.wikipedia.org/wiki/Rodney_Croome,951688,1043273,2004-09-02,2003-06-09,2004,2003,Member of the Order of Australia,The Queen's Birthday 2003 Honours List,NA,"For service to the community as a human rights advocate, particularly through promoting tolerance and understanding of the human rights of gay and lesbian people.",Australian academic and activist,1,2003-06-09,2003,2004,451,1,2004-W36,2003-W24,64,on or after honours
