name,awardComb,honoursYear,wikipediaYear,WPDate,honoursDate,wikipediaPage,firstAwardDate,newAwardDate,newAwardYear,newTimeDiff,newYearDiff,prePostWikiPedia,gender,state,wikipediaPageID,AwardName,fullName,AnnouncementEvent,division,citation,wikiDataDescription,wikipediaURL,division2,numberOfHonours
Roger Chalk,AM,1996,2005,2005-07-19,1996-06-11,Yes,1996-06-11,2001-01-15,2001,1646,4,Pre,M,TAS,2262649,Member of the Order of Australia,Councillor Roger George CHALK,The Queen's Birthday 1996 Honours List,G,In recognition of services to local government through the Local Government Association of Tasmania and the Wynyard and Waratah Councils,Australian politician,https://en.wikipedia.org/wiki/Roger_Chalk,NA,1
Roger Climpson,OAM,2004,2005,2005-07-23,2004-01-26,Yes,2004-01-26,2004-01-26,2004,544,1,Post,M,NSW,2293101,Medal of the Order of Australia,Mr Roger CLIMPSON,Australia Day 2004 Honours List,NA,"For service to the media, particularly through the Christian Broadcasting Association, and to the community through a range of service groups.",Australian journalist,https://en.wikipedia.org/wiki/Roger_Climpson,NA,1
Roger Corbett,AO,2008,2007,2007-04-09,2008-06-09,Yes,2008-06-09,2008-06-09,2008,-427,-1,Post,M,NSW,10559282,Officer of the Order of Australia,Mr Roger Campbell CORBETT,The Queen's Birthday 2008 Honours List,G,"For service to business, particularly through leadership and executive roles in the retail sector and a range of allied organisations, and to the community.",Australian businessman,https://en.wikipedia.org/wiki/Roger_Corbett,NA,1
Roger Covell,AM,1986,2008,2008-06-18,1986-01-26,Yes,1986-01-26,2001-01-15,2001,2711,7,Pre,M,NSW,17998587,Member of the Order of Australia,Professor Roger David COVELL,Australia Day 1986 Honours List,G,In recognition of service to music,Australian musicologist,https://en.wikipedia.org/wiki/Roger_Covell,NA,1
Roger de Bryon-Faes,OAM,1990,2010,2010-07-03,1990-01-26,Yes,1990-01-26,2001-01-15,2001,3456,9,Pre,M,ACT,27925665,Medal of the Order of Australia,The Honourable Doctor Roger August Alfred FAES DE BRYON FAES,Australia Day 1990 Honours List,G,For service to community health and to the New South Wales Parliament,Australian politician,https://en.wikipedia.org/wiki/Roger_de_Bryon-Faes,NA,1
Roger Goldsworthy (politician),AO,1997,2013,2013-05-08,1997-01-26,Yes,1997-01-26,2001-01-15,2001,4496,12,Pre,M,SA,39332825,Officer of the Order of Australia,The Honourable Eric Roger GOLDSWORTHY,Australia Day 1997 Honours List,G,"For service to politics, to the parliament of South Australia and to the community.",Australian politician,https://en.wikipedia.org/wiki/Roger_Goldsworthy_(politician),NA,1
Roger Gyles,AO,2000,2006,2006-09-03,2000-06-12,Yes,2000-06-12,2001-01-15,2001,2057,5,Pre,M,NSW,6823117,Officer of the Order of Australia,The Honourable Justice Roger Vincent GYLES,The Queen's Birthday 2000 Honours List,G,"For service to the legal profession and the judiciary, particularly as a Royal Commissioner and Special Prosecutor, and to the community.",Australian judge,https://en.wikipedia.org/wiki/Roger_Gyles,NA,1
Roger Herft,AM,2013,2006,2006-01-20,2013-01-26,Yes,2013-01-26,2013-01-26,2013,-2563,-7,Post,M,WA,3781115,Member of the Order of Australia,The Most Reverend Roger Adrian HERFT,Australia Day 2013 Honours List,G,For significant service to the Anglican Church of Australia through leadership roles in ecumenical and interfaith relations and advocacy for social justice.,cleric,https://en.wikipedia.org/wiki/Roger_Herft,NA,1
Roger McNeice,OAM,1996,2015,2015-07-12,1996-06-11,Yes,1996-06-11,2001-01-15,2001,5291,14,Pre,M,TAS,47218933,Medal of the Order of Australia,Mr Roger Vere McNEICE,The Queen's Birthday 1996 Honours List,G,FOR SERVICE TO THE COMMUNITY AND COMMUNITY HISTORY AS FOUNDER OF THE TASMANIAN NUMISMATIC SOCIETY AND AS A MEMBER OF FIRE BRIGADES RECORDING AND PUBLISHING RELATED HISTORIES. QB 1996,Australian numismatist,https://en.wikipedia.org/wiki/Roger_McNeice,NA,1
Roger Noble,AM,2016,2019,2019-03-03,2016-06-13,Yes,2016-06-13,2016-06-13,2016,993,3,Post,M,NSW,60122905,Member of the Order of Australia,Brigadier Roger John NOBLE,The Queen's Birthday 2016 Honours List,M,For exceptional service to the Australian Army as Director General Land Development and Commander of the 3rd Brigade.,Australian Army general,https://en.wikipedia.org/wiki/Roger_Noble,NA,1
Roger Powell (general),AM,1996,2009,2009-02-09,1996-01-26,Yes,1996-01-26,2001-01-15,2001,2947,8,Pre,M,Other,21457189,Member of the Order of Australia,Brigadier Roger Anthony POWELL,Australia Day 1996 Honours List,M,AM. FOR EXCEPTIONAL SERVICE AS DIRECTOR OF MILITARY EDUCATION AND TRAINING AT THE AUSTRALIAN DEFENCE FORCE ACADEMY AND AS COMMANDER OF THE 6TH BRIGADE. AD 1996,Australian general,https://en.wikipedia.org/wiki/Roger_Powell_(general),NA,1
Roger Shipton,OAM,1991,2007,2007-06-05,1991-01-26,Yes,1991-01-26,2001-01-15,2001,2332,6,Pre,M,VIC,11601772,Medal of the Order of Australia,Mr Roger Francis SHIPTON,Australia Day 1991 Honours List,G,OAM/AUST DAY 1991 (GENERAL DIVISION). FOR SERVICE TO THE AUSTRALIAN PARLIAMENT AND TO POLITICS,Australian politician,https://en.wikipedia.org/wiki/Roger_Shipton,NA,1
Roger Smalley,AM,2011,2005,2005-12-04,2011-01-26,Yes,2011-01-26,2011-01-26,2011,-1879,-6,Post,M,NSW,3320219,Member of the Order of Australia,Emeritus Professor Roger SMALLEY,Australia Day 2011 Honours List,G,"For service to the arts as a composer, concert pianist, educator, mentor of emerging musicians and advocate for Australian and international new music.",Australian musician,https://en.wikipedia.org/wiki/Roger_Smalley,NA,1
Roger Steele,OAM,2020,2010,2010-10-31,2020-01-26,Yes,2020-01-26,2020-01-26,2020,-3374,-10,Post,M,NT,29418293,Medal of the Order of Australia,The Honourable Roger Michael STEELE,Australia Day 2020 Honours List,G,For service to the people and Legislative Assembly of the Northern Territory.,Australian politician,https://en.wikipedia.org/wiki/Roger_Steele,NA,1
Roger Vanderfield,AO,2006,2008,2008-09-29,2006-01-26,Yes,2006-01-26,2006-01-26,2006,977,2,Post,M,NSW,19518763,Officer of the Order of Australia,Dr Ian Roger VANDERFIELD,Australia Day 2006 Honours List,G,"For service to the community through the delivery of health care services at Royal North Shore Hospital, Sydney, and to Rugby Union football.",Australian rugby union referee,https://en.wikipedia.org/wiki/Roger_Vanderfield,NA,1
Roger Wilkins (public servant),AO,2007,2014,2014-09-03,2007-06-11,Yes,2007-06-11,2007-06-11,2007,2641,7,Post,M,NSW,43730042,Officer of the Order of Australia,Mr Roger Bruce WILKINS,The Queen's Birthday 2007 Honours List,G,"For service to public administration in New South Wales, particularly as a contributor to a range of new policy initiatives, and to arts administration.",Australian public servant,https://en.wikipedia.org/wiki/Roger_Wilkins_(public_servant),NA,1
Roger Woodward,AC,1992,2005,2005-10-19,1992-06-08,Yes,1992-06-08,2001-01-15,2001,1738,4,Pre,M,NSW,2947679,Companion of the Order of Australia,"Mr Roger Robert WOODWARD, OBE",The Queen's Birthday 1992 Honours List,G,"AC/QB 1992 (GENERAL DIVISION) FOR SERVICE TO MUSIC, PARTICULARLY AS A PIANIST AND TO THE PROMOTION OF AUSTRALIAN COMPOSITION. OBE/QB 1980 CW LIST",Australian classical pianist,https://en.wikipedia.org/wiki/Roger_Woodward,NA,1
Roger Wotton,AM,1994,2010,2010-01-27,1994-06-10,Yes,1994-06-10,2001-01-15,2001,3299,9,Pre,M,NSW,25963933,Member of the Order of Australia,Mr Roger Corfield Anson WOTTON,The Queen's Birthday 1994 Honours List,G,AM/FOR SERVICE TO THE COMMUNITY AND TO THE NEW SOUTH WALES PARLIAMENT. QUEEN'S B'DAY 1994,Australian politician,https://en.wikipedia.org/wiki/Roger_Wotton,NA,1
Roland Peelman,AM,2020,2015,2015-07-14,2020-01-26,Yes,2020-01-26,2020-01-26,2020,-1657,-5,Post,M,NSW,47234156,Member of the Order of Australia,Mr Roland Sylvester PEELMAN,Australia Day 2020 Honours List,HP,For significant service to music.,Belgian conductor,https://en.wikipedia.org/wiki/Roland_Peelman,NA,1
Roland Perry,OAM,2011,2005,2005-11-07,2011-06-13,Yes,2011-06-13,2011-06-13,2011,-2044,-6,Post,M,VIC,3100629,Medal of the Order of Australia,Mr Roland John PERRY,The Queen's Birthday 2011 Honours List,G,For service to literature as an author.,Australian writer,https://en.wikipedia.org/wiki/Roland_Perry,NA,1
Roland Robinson (poet),OAM,1984,2007,2007-10-28,1984-06-11,Yes,1984-06-11,2001-01-15,2001,2477,6,Pre,M,NSW,13950851,Medal of the Order of Australia,Mr Roland Edward ROBINSON,The Queen's Birthday 1984 Honours List,G,"OAM QB 84. FOR SERVICE TO LITERATURE, PARTICULARLY IN THE PRESERVATION OF AUSTRALIAN ABORIGINAL MYTHOLOGY",Australian poet,https://en.wikipedia.org/wiki/Roland_Robinson_(poet),NA,1
Rolf Harris,AO,2012,2002,2002-12-13,2012-06-11,Yes,1989-01-26,2001-01-15,2001,697,1,Pre,U,Other,157461,Officer of the Order of Australia,Anonymous,The Queen's Birthday 2012 Honours List,G,"For distinguished service to the performing and visual arts, to charitable organisations, and to international relations through the promotion of Australian culture.","Australian-born, British-based entertainer and convicted sex offender",https://en.wikipedia.org/wiki/Rolf_Harris,NA,2
Rolf M. Zinkernagel,AC,1999,2005,2005-04-06,1999-06-14,Yes,1999-06-14,2001-01-15,2001,1542,4,Pre,M,Other,1702186,Companion of the Order of Australia,Professor Dr Rolf M. ZINKERNAGEL,The Queen's Birthday 1999 Honours List,HG,"For service to scientific research, particularly the role of major histocompatibility complex proteins in cell mediated immunity.",Swiss immunologist,https://en.wikipedia.org/wiki/Rolf_M._Zinkernagel,NA,1
Rolf Prince,AO,1998,2019,2019-03-31,1998-01-26,Yes,1998-01-26,2001-01-15,2001,6649,18,Pre,M,NSW,60380362,Officer of the Order of Australia,Professor Rudolf George Herman PRINCE,Australia Day 1998 Honours List,G,"FOR SERVICE TO THE DISCIPLINE OF CHEMICAL ENGINEERING, BOTH ACADEMICALLY AND PROFESSIONALLY, TO TERTIARY EDUCATION AND TO THE COMMUNITY. AO S14 1998",chemical engineering academic,https://en.wikipedia.org/wiki/Rolf_Prince,NA,1
Rolland Busch,AO,1984,2014,2014-12-11,1984-01-26,Yes,1984-01-26,2001-01-15,2001,5078,13,Pre,M,QLD,44671640,Officer of the Order of Australia,"The Reverend Professor Rolland Arthur BUSCH, OBE",Australia Day 1984 Honours List,G,In recognition of service to religion,Australian minister,https://en.wikipedia.org/wiki/Rolland_Busch,NA,1
Rolly Tasker,AM,2006,2007,2007-11-13,2006-06-12,Yes,2006-06-12,2006-06-12,2006,519,1,Post,M,WA,14224373,Member of the Order of Australia,Mr Rolland Leslie TASKER,The Queen's Birthday 2006 Honours List,G,"For service to sailing as a sail maker, yacht designer and builder, as a competitive yachtsman, and to maritime related cultural institutions.",sailor,https://en.wikipedia.org/wiki/Rolly_Tasker,NA,1
Roma Mitchell,AC,1991,2004,2004-03-18,1991-01-26,Yes,1991-01-26,2001-01-15,2001,1158,3,Pre,F,SA,534665,Companion of the Order of Australia,"Her Excellency the Honourable Dame Roma Flinders MITCHELL, D",Australia Day 1991 Honours List,G,"AKA FLINDERS. DBE QB 1982 COM. CBE QB 1971 COM. AC/AUSTRALIA DAY 1991 (GENERAL DIVISION). FOR SERVICE TO THE LAW, TO LEARNING AND TO THE COMMUNITY",Australian judge,https://en.wikipedia.org/wiki/Roma_Mitchell,NA,1
Romaldo Giurgola,AO,1989,2005,2005-03-30,1989-01-26,Yes,1989-01-26,2001-01-15,2001,1535,4,Pre,M,Other,1671232,Officer of the Order of Australia,Mr Romaldo GIURGOLA,Australia Day 1989 Honours List,HG,"For service to architecture, particularly the new Parliament House, Canberra.",Italian-Australian architect,https://en.wikipedia.org/wiki/Romaldo_Giurgola,NA,1
Ron Archer,AM,1995,2006,2006-01-02,1995-06-12,Yes,1995-06-12,2001-01-15,2001,1813,5,Pre,M,QLD,3595338,Member of the Order of Australia,Mr Ronald Graham ARCHER,The Queen's Birthday 1995 Honours List,G,"In recognition of service to the community, cricket and business",Australian cricketer (1933-2007),https://en.wikipedia.org/wiki/Ron_Archer,NA,1
Ron Barassi,AM,1978,2002,2002-09-27,1978-06-06,Yes,1978-06-06,2001-01-15,2001,620,1,Pre,M,VIC,92930,Member of the Order of Australia,Mr Ronald BARASSI,The Queen's Birthday 1978 Honours List,G,In recognition of service to the sport of Australian Rules football,Australian rules footballer and coach,https://en.wikipedia.org/wiki/Ron_Barassi,NA,1
Ron Boswell,AO,2020,2004,2004-06-12,2020-06-07,Yes,2020-06-07,2020-06-07,2020,-5839,-16,Post,M,QLD,719360,Officer of the Order of Australia,The Honourable Ronald Leslie  BOSWELL,The Queen's Birthday 2020 Honours List,G,"For distinguished service to the Parliament of Australia, to the people of Queensland, and to fisheries research and development.",Australian politician,https://en.wikipedia.org/wiki/Ron_Boswell,NA,1
Ron Casey (Melbourne broadcaster),AM,1990,2005,2005-11-26,1990-06-11,Yes,1990-06-11,2001-01-15,2001,1776,4,Pre,M,VIC,3244781,Member of the Order of Australia,"Mr Ronald Patrick CASEY, MBE",The Queen's Birthday 1990 Honours List,G,In recognition of service to community health and sport,Australian broadcaster,https://en.wikipedia.org/wiki/Ron_Casey_(Melbourne_broadcaster),NA,1
Ron Casey (Sydney broadcaster),OAM,1988,2008,2008-01-24,1988-01-26,Yes,1988-01-26,2001-01-15,2001,2565,7,Pre,M,NSW,15401801,Medal of the Order of Australia,Mr Ronald Arthur CASEY,Australia Day 1988 Honours List,G,"In recognition of service to the media, particularly as a sports commentator","Australian television presenter, sports journalist and talk-back radio host",https://en.wikipedia.org/wiki/Ron_Casey_(Sydney_broadcaster),NA,1
Ron Christie (rail administrator),AM,2002,2015,2015-08-11,2002-01-26,Yes,2002-01-26,2002-01-26,2002,4945,13,Post,M,NSW,47495688,Member of the Order of Australia,Mr Ronald David CHRISTIE,Australia Day 2002 Honours List,G,"For service to public administration, particularly transport management in New South Wales.",Australian rail administrator,https://en.wikipedia.org/wiki/Ron_Christie_(rail_administrator),NA,1
Ron Clarke,AO,2013,2004,2004-05-10,2013-06-10,Yes,2013-06-10,2013-06-10,2013,-3318,-9,Post,M,QLD,646649,Officer of the Order of Australia,Mr Ronald William CLARKE,The Queen's Birthday 2013 Honours List,G,"For distinguished service to the community through a range of  leadership roles with local government and philanthropic organisations, and to the promotion of athletics.",Australian long-distance runner (1937-2015),https://en.wikipedia.org/wiki/Ron_Clarke,NA,1
Ron Dyer,OAM,2016,2009,2009-01-24,2016-06-13,Yes,2016-06-13,2016-06-13,2016,-2697,-7,Post,M,NSW,21232636,Medal of the Order of Australia,The Honourable Ronald David DYER,The Queen's Birthday 2016 Honours List,G,For service to the people and Parliament of New South Wales.,Australian politician,https://en.wikipedia.org/wiki/Ron_Dyer,NA,1
Ron Evans,AM,2006,2006,2006-03-09,2006-06-12,Yes,2006-06-12,2006-06-12,2006,-95,0,Post,M,VIC,4329321,Member of the Order of Australia,Mr Ronald Barry EVANS,The Queen's Birthday 2006 Honours List,G,"For service to business and commerce, to Australian Rules football as a player and administrator, and to the community through support for a range of charitable organisations.","Australian rules footballer and businessman, born 1939",https://en.wikipedia.org/wiki/Ron_Evans,NA,1
Ron Finneran,OAM,2004,2012,2012-06-12,2004-06-14,Yes,2004-06-14,2004-06-14,2004,2920,8,Post,M,NSW,36113880,Medal of the Order of Australia,Mr Ronald James FINNERAN,The Queen's Birthday 2004 Honours List,NA,For service to sport for people with disabilities as an administrator and competitor.,Australian sports administrator,https://en.wikipedia.org/wiki/Ron_Finneran,NA,1
Ron Grant (runner),OAM,1985,2013,2013-12-16,1985-01-26,Yes,1985-01-26,2001-01-15,2001,4718,12,Pre,M,QLD,41377541,Medal of the Order of Australia,Mr Ronald Moreton GRANT,Australia Day 1985 Honours List,G,In recognition of service to the sport of long distance running,Australian athletics competitor,https://en.wikipedia.org/wiki/Ron_Grant_(runner),NA,1
Ron Grey,AO,1983,2012,2012-05-02,1983-01-26,Yes,1983-01-26,2001-01-15,2001,4125,11,Pre,M,NSW,35696390,Officer of the Order of Australia,"Major General Ronald Alwyn GREY, DSO",Australia Day 1983 Honours List,M,"For service to the Australian Army, particularly as Chief of Operations Army and as General Officer Commanding Field Force Command",Australian Army general,https://en.wikipedia.org/wiki/Ron_Grey,NA,1
Ron Haddrick,AM,2013,2009,2009-05-04,2013-06-10,Yes,2013-06-10,2013-06-10,2013,-1498,-4,Post,M,NSW,22683788,Member of the Order of Australia,Mr Ronald Norman HADDRICK,The Queen's Birthday 2013 Honours List,G,For significant service to the performing arts as an actor and narrator.,Australian cricketer and actor (1929-2020),https://en.wikipedia.org/wiki/Ron_Haddrick,NA,1
Ron Hovey,OAM,1997,2007,2007-08-13,1997-01-26,Yes,1997-01-26,2001-01-15,2001,2401,6,Pre,M,VIC,12744393,Medal of the Order of Australia,Mr Ronald Clive HOVEY,Australia Day 1997 Honours List,G,For service to Australian Rules football as a player for and administrator of the Geelong Football Club.,Australian rules footballer and administrator,https://en.wikipedia.org/wiki/Ron_Hovey,NA,1
Ron Langman,AM,2006,2018,2018-10-15,2006-06-12,Yes,2006-06-12,2006-06-12,2006,4508,12,Post,M,SA,58756780,Member of the Order of Australia,Mr Ronald Keith LANGMAN,The Queen's Birthday 2006 Honours List,G,For service to the building and construction industry through the establishment of collaborative marketing ventures and as a mentor for young entrepreneurs.,Australian businessperson,https://en.wikipedia.org/wiki/Ron_Langman,NA,1
Ron Manners,AO,2020,2009,2009-11-24,2020-06-07,Yes,2020-06-07,2020-06-07,2020,-3848,-11,Post,M,WA,25186886,Officer of the Order of Australia,Mr Ronald Brown MANNERS,The Queen's Birthday 2020 Honours List,G,"For distinguished service to the minerals and mining sectors, and to youth through philanthropic support for educational initiatives.",Australian businessman,https://en.wikipedia.org/wiki/Ron_Manners,NA,1
Ron McCallum,AO,2006,2007,2007-09-27,2006-06-12,Yes,2006-06-12,2006-06-12,2006,472,1,Post,M,NSW,13459609,Officer of the Order of Australia,Professor Ronald Clive McCALLUM,The Queen's Birthday 2006 Honours List,G,"For service to the law, particularly as a tertiary educator and industrial relations policy adviser to government, and to the community through support for people with visual impairments and in the areas of social justice and human rights.",Australian legalacademic,https://en.wikipedia.org/wiki/Ron_McCallum,NA,1
Ron Mulock,AO,1988,2007,2007-05-09,1988-06-13,Yes,1988-06-13,2001-01-15,2001,2305,6,Pre,M,NSW,11136130,Officer of the Order of Australia,Mr Ronald Joseph MULOCK,The Queen's Birthday 1988 Honours List,G,AO QB 88. FOR SERVICE TO THE NEW SOUTH WALES PARLIAMENT,Australian politician,https://en.wikipedia.org/wiki/Ron_Mulock,NA,1
Ron Penny,AO,1993,2019,2019-12-31,1993-06-13,Yes,1993-06-13,2001-01-15,2001,6924,18,Pre,M,NSW,62703064,Officer of the Order of Australia,Professor Ronald PENNY,The Queen's Birthday 1993 Honours List,G,AO/FOR SERVICE TO MEDICAL RESEARCH AND EDUCATION PARTICULARLY IN THE FIELD OF CLINICAL IMMUNOLOGY. QUEENS BDAY 1993 GD,Australian immunologist,https://en.wikipedia.org/wiki/Ron_Penny,NA,1
Ron Phillips (politician),AO,2017,2006,2006-05-13,2017-06-12,Yes,2017-06-12,2017-06-12,2017,-4048,-11,Post,M,NSW,5125679,Officer of the Order of Australia,The Honourable Ronald Anthony PHILLIPS,The Queen's Birthday 2017 Honours List,G,"For distinguished service to community health through leadership roles in the public and private sectors, through the development of health policy reform, and to the Parliament of New South Wales.",Australian politician,https://en.wikipedia.org/wiki/Ron_Phillips_(politician),NA,1
Ron Pretty,AM,2002,2013,2013-08-26,2002-06-10,Yes,2002-06-10,2002-06-10,2002,4095,11,Post,M,NSW,40359057,Member of the Order of Australia,Associate Professor Ronald Keith PRETTY,The Queen's Birthday 2002 Honours List,NA,"For  service to literature, particularly through the establishment of organisations to foster the promotion of Australian poetry.",Australian poet,https://en.wikipedia.org/wiki/Ron_Pretty,NA,1
Ron Radford,AM,2003,2006,2006-10-17,2003-06-09,Yes,2003-06-09,2003-06-09,2003,1226,3,Post,M,SA,7479079,Member of the Order of Australia,Mr Ronald Warwick RADFORD,The Queen's Birthday 2003 Honours List,NA,"For service to arts administration, particularly as Director of the Art Gallery of South Australia and by initiating appreciation of Australian artists and their work within the community.",Australian curator and art gallery director,https://en.wikipedia.org/wiki/Ron_Radford,NA,1
Ron Stone (bishop),AM,2008,2010,2010-12-04,2008-06-09,Yes,2008-06-09,2008-06-09,2008,908,2,Post,M,VIC,29893131,Member of the Order of Australia,The Right Reverend Ronald Francis STONE,The Queen's Birthday 2008 Honours List,G,"For service to the Anglican Church of Australia, and to rural and remote communities through executive roles with social welfare organisations.",Bishop of Rockhampton,https://en.wikipedia.org/wiki/Ron_Stone_(bishop),NA,1
Ron Tauranac,AO,2002,2005,2005-10-07,2002-01-26,Yes,2002-01-26,2002-01-26,2002,1350,3,Post,M,Other,2855588,Officer of the Order of Australia,Mr Ronald Sidney TAURANAC,Australia Day 2002 Honours List,G,"For service to motor racing, particularly through the engineering design, construction and production of Formula 1 racing cars, providing young drivers with opportunities to compete at top levels, and sharing knowledge with others for the advancement of the sport.",Australian engineer and racing car designer,https://en.wikipedia.org/wiki/Ron_Tauranac,NA,1
Ron Tindall,OAM,2008,2006,2006-10-14,2008-01-26,Yes,2008-01-26,2008-01-26,2008,-469,-2,Post,M,WA,7440545,Medal of the Order of Australia,Mr Ronald Albert TINDALL,Australia Day 2008 Honours List,G,"For service to sport, particularly through the development of football and through the education and development of sports coaches.",Cricketer and footballer (1935-2012),https://en.wikipedia.org/wiki/Ron_Tindall,NA,1
Ron Walker (Australian businessman),AC,2003,2005,2005-05-23,2003-01-26,Yes,1987-06-08,2001-01-15,2001,1589,4,Pre,M,VIC,1927679,Companion of the Order of Australia,Mr Ronald Joseph WALKER,Australia Day 2003 Honours List,G,"For service to business, the arts and the community, and to raising the profile of Australia internationally with significant benefit for tourism and employment.",Australian businessman (1939-2018),https://en.wikipedia.org/wiki/Ron_Walker_(Australian_businessman),NA,2
Ronald Crawford (racewalker),OAM,1999,2012,2012-05-12,1999-06-14,Yes,1999-06-14,2001-01-15,2001,4135,11,Pre,M,NSW,35799188,Medal of the Order of Australia,Mr Ronald John CRAWFORD,The Queen's Birthday 1999 Honours List,G,OAM. FOR SERVICE TO ATHLETICS AS A COMPETITOR AND ADMINISTRATOR. GAZ S214. QB 1999,Australian racewalker (1936-2018),https://en.wikipedia.org/wiki/Ronald_Crawford_(racewalker),NA,1
Ronald Drayton Brown,AM,2002,2016,2016-12-29,2002-06-10,Yes,2002-06-10,2002-06-10,2002,5316,14,Post,M,VIC,52720414,Member of the Order of Australia,Emeritus Professor Ronald Drayton BROWN,The Queen's Birthday 2002 Honours List,NA,"For  service to chemistry and chemical research, particularly spectroscopic work on molecules, to education in the areas of curriculum development, teaching and as an administrator, and to the community.",Australian chemist,https://en.wikipedia.org/wiki/Ronald_Drayton_Brown,NA,1
Ronald Ekers,AO,2019,2009,2009-01-10,2019-01-26,Yes,2019-01-26,2019-01-26,2019,-3668,-10,Post,M,NSW,21031442,Officer of the Order of Australia,Dr Ronald David EKERS,Australia Day 2019 Honours List,G,"For distinguished service to science as a radio astronomer, to scientific education, and to international astronomical organisations.",Australian astronomer,https://en.wikipedia.org/wiki/Ronald_Ekers,NA,1
Ronald Harvey (administrator),AM,1999,2007,2007-03-25,1999-01-26,Yes,1999-01-26,2001-01-15,2001,2260,6,Pre,M,ACT,10253412,Member of the Order of Australia,"Mr Ronald George HARVEY, CVO",Australia Day 1999 Honours List,G,CVO. FOR SERVICE TO THE PROMOTION OF BASKETBALL IN AUSTRALIA. AM S16 1999,Australian sports official,https://en.wikipedia.org/wiki/Ronald_Harvey_(administrator),NA,1
Ronald Horan,OAM,2000,2009,2009-09-20,2000-06-12,Yes,2000-06-12,2001-01-15,2001,3170,8,Pre,M,NSW,24408311,Medal of the Order of Australia,Mr Ronald Stephen HORAN,The Queen's Birthday 2000 Honours List,G,"(Award wef 18 February 1999)For service to education through Fort Street High School, Sydney.",Australian academic,https://en.wikipedia.org/wiki/Ronald_Horan,NA,1
Ronald John Yates,AM,1983,2006,2006-08-07,1983-06-13,Yes,1983-06-13,2001-01-15,2001,2030,5,Pre,M,NSW,6316584,Member of the Order of Australia,Mr Ronald John YATES,The Queen's Birthday 1983 Honours List,G,AM QB 83 GEN DIV. FOR SERVICE TO THE AVIATION INDSUTRY,Australian CEO of Qantas,https://en.wikipedia.org/wiki/Ronald_John_Yates,NA,1
Ronald McNicoll,AM,1982,2014,2014-12-22,1982-01-26,Yes,1982-01-26,2001-01-15,2001,5089,13,Pre,M,VIC,23419786,Member of the Order of Australia,"Major General Ronald Ramsay McNICOLL, CBE",Australia Day 1982 Honours List,G,"For service to literature, particularly as an historian of military engineering.",Australian Army general,https://en.wikipedia.org/wiki/Ronald_McNicoll,NA,1
Ronald N. Bracewell,AO,1998,2003,2003-10-24,1998-06-08,Yes,1998-06-08,2001-01-15,2001,1012,2,Pre,M,Other,348257,Officer of the Order of Australia,Professor Ronald Newbold BRACEWELL,The Queen's Birthday 1998 Honours List,G,"FOR SERVICE TO SCIENCE IN THE FIELDS OF RADIO ASTRONOMY AND IMAGE RECONSTRUCTION. 836 SANTA FE AVENUE, STANFORD CA 94305 USA. AO S242 1998",Australian scientist,https://en.wikipedia.org/wiki/Ronald_N._Bracewell,NA,1
Ronald Sackville,AO,2009,2007,2007-01-06,2009-01-26,Yes,2009-01-26,2009-01-26,2009,-751,-2,Post,M,NSW,8783265,Officer of the Order of Australia,The Honourable Ronald SACKVILLE,Australia Day 2009 Honours List,G,"For service to the administration of the Australian judicial system, to the reform of federal and state law, and to legal education.",Australian judge,https://en.wikipedia.org/wiki/Ronald_Sackville,NA,1
Ronald Sanders (diplomat),AM,2012,2015,2015-09-21,2012-11-30,Yes,2012-11-30,2012-11-30,2012,1025,3,Post,M,Other,47889560,Member of the Order of Australia,Sir Ronald SANDERS,Honorary Appointments,HG,"For service to Australian relations, particularly concerning Commonwealth issues and advancing the interests of small developing states of the Caribbean region.",Antiguan Barbudan diplomat,https://en.wikipedia.org/wiki/Ronald_Sanders_(diplomat),NA,1
Ronald Strahan,AM,1994,2019,2019-02-04,1994-06-10,Yes,1994-06-10,2001-01-15,2001,6594,18,Pre,M,NSW,59852766,Member of the Order of Australia,Mr Ronald STRAHAN,The Queen's Birthday 1994 Honours List,G,AM/FOR SERVICE TO ZOOLOGY AND TO ADVANCING UNDERSTANDING OF AUSTRALIA'S NATURAL BIOLOGICAL HERITAGE. QUEENS BIRTHDAY 1994,Australian zoologist,https://en.wikipedia.org/wiki/Ronald_Strahan,NA,1
Ronald Wilson,AC,1988,2004,2004-03-26,1988-01-26,Yes,1988-01-26,2001-01-15,2001,1166,3,Pre,M,ACT,553529,Companion of the Order of Australia,"The Honourable Sir Ronald (Darling) WILSON, KBE, CMG",Australia Day 1988 Honours List,G,AKA DARLING. KBE 24/7/79. CMG QB '78 WA LIST. AC AD88. FOR SERVICE TO THE LAW,Australian judge and church leader (1922-2005),https://en.wikipedia.org/wiki/Ronald_Wilson,NA,1
Ronnie Burns (singer),AM,2013,2006,2006-05-18,2013-06-10,Yes,2013-06-10,2013-06-10,2013,-2580,-7,Post,M,TAS,5189181,Member of the Order of Australia,Mr Ronald Leslie BURNS,The Queen's Birthday 2013 Honours List,G,"For significant service to the community, particularly to children recovering from illness and trauma, and to the entertainment industry.",Australian pop singer,https://en.wikipedia.org/wiki/Ronnie_Burns_(singer),NA,1
