url,pageid,displayName
https://en.wikipedia.org/wiki/Michael_Crouch,22987953,Michael Crouch
https://en.wikipedia.org/wiki/Ken_Freeman_(astronomer),13092179,Ken Freeman (astronomer)
https://en.wikipedia.org/wiki/Peter_Gago,4901174,Peter Gago
https://en.wikipedia.org/wiki/John_Gandel,11940289,John Gandel
https://en.wikipedia.org/wiki/Alan_Joyce_(executive),18628064,Alan Joyce (executive)
https://en.wikipedia.org/wiki/Peter_Klinken,52783681,Peter Klinken
https://en.wikipedia.org/wiki/Julian_McMahon_(barrister),45348226,Julian McMahon (barrister)
https://en.wikipedia.org/wiki/Jacques_Nasser,2755700,Jacques Nasser
https://en.wikipedia.org/wiki/John_Shine,1520124,John Shine
https://en.wikipedia.org/wiki/Robert_Tickner,14933190,Robert Tickner
https://en.wikipedia.org/wiki/Alex_Zelinsky,35900874,Alex Zelinsky
https://en.wikipedia.org/wiki/Kay_Goldsworthy,16976766,Kay Goldsworthy
https://en.wikipedia.org/wiki/Antony_Green,948343,Antony Green
https://en.wikipedia.org/wiki/Helen_Herrman,56140385,Helen Herrman
https://en.wikipedia.org/wiki/James_Hogan_(businessman),30176277,James Hogan (businessman)
https://en.wikipedia.org/wiki/Andrew_Ford_(composer),13351429,Andrew Ford (composer)
https://en.wikipedia.org/wiki/Ron_Dyer,21232636,Ron Dyer
https://en.wikipedia.org/wiki/George_Henry_Bennett,11012067,George Henry Bennett
https://en.wikipedia.org/wiki/Robert_Spence_(bishop),28222676,Robert Spence (bishop)
https://en.wikipedia.org/wiki/Darby_McCarthy,5425204,Darby McCarthy
https://en.wikipedia.org/wiki/Amanda_Keller,1193798,Amanda Keller
https://en.wikipedia.org/wiki/Roger_Noble,60122905,Roger Noble
https://en.wikipedia.org/wiki/Jared_Tallent,12955969,Jared Tallent
https://en.wikipedia.org/wiki/George_Williamson_(Australian_footballer),49205883,George Williamson (Australian footballer)
https://en.wikipedia.org/wiki/Kerry_Sanderson,43151455,Kerry Sanderson
https://en.wikipedia.org/wiki/Glenn_Stevens,6242667,Glenn Stevens
https://en.wikipedia.org/wiki/Jan_Adams_(diplomat),45088798,Jan Adams (diplomat)
https://en.wikipedia.org/wiki/Fran_Baum,61363685,Fran Baum
"https://en.wikipedia.org/wiki/John_Bertrand_(sailor,_born_1946)",657584,"John Bertrand (sailor, born 1946)"
https://en.wikipedia.org/wiki/Carmel_McLure,41374855,Carmel McLure
https://en.wikipedia.org/wiki/Tony_Beddison,63026925,Tony Beddison
https://en.wikipedia.org/wiki/Hieu_Van_Le,18137826,Hieu Van Le
https://en.wikipedia.org/wiki/Peter_Lloyd_(aviator),50889988,Peter Lloyd (aviator)
https://en.wikipedia.org/wiki/Raymond_Finkelstein,13415756,Raymond Finkelstein
https://en.wikipedia.org/wiki/Vivienne_Thom,64345459,Vivienne Thom
https://en.wikipedia.org/wiki/Lynn_Rainbow,6270727,Lynn Rainbow
