wikidataID,personLabel,personDescription,refurl,orderaus,orderausLabel,honsid,date_awarded,sitelink
Q4706304,Alan Cadman,Australian politician,NA,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1141005,2009-06-08T00:00:00Z,https://en.wikipedia.org/wiki/Alan_Cadman
Q4706550,Alan Dupont,Australian academic,https://honours.pmc.gov.au/honours/awards/2004526,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,2004526,2019-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Alan_Dupont
Q4706574,Alan Edwards,1925-2003 British actor,https://honours.pmc.gov.au/honours/awards/870368,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,870368,1990-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Alan_Edwards_(actor)
Q4706609,Alan Ferguson,Australian politician,https://honours.pmc.gov.au/honours/awards/2007270,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,2007270,2020-06-07T00:00:00Z,https://en.wikipedia.org/wiki/Alan_Ferguson
Q4706618,Alan Finkel,"Australian neuroscientist, engineer, entrepreneur and philanthropist",https://honours.pmc.gov.au/honours/awards/1149949,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1149949,2014-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Alan_Finkel
Q40673023,Adele Green,Australian epidemiologist,https://honours.pmc.gov.au/honours/awards/1056738,http://www.wikidata.org/entity/Q9680541,Companion of the Order of Australia,1056738,2004-06-14T00:00:00Z,https://en.wikipedia.org/wiki/Adele_Green
Q40890529,Reginald Newton,NA,https://honours.pmc.gov.au/honours/awards/875853,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,875853,1978-06-06T00:00:00Z,https://en.wikipedia.org/wiki/Reginald_Newton
Q41182425,Ju Ping Tian,NA,https://honours.pmc.gov.au/honours/awards/1131471,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,1131471,2006-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Ju_Ping_Tian
Q41298250,Warwick Forbes,Australian men's gymnast and coach,https://honours.pmc.gov.au/honours/awards/886339,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,886339,1994-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Warwick_Forbes
Q41693981,Colin Dunsford,NA,https://honours.pmc.gov.au/honours/awards/1147797,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,1147797,2013-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Colin_Dunsford
Q41790052,Patrick Hunt,NA,https://honours.pmc.gov.au/honours/awards/886291,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,886291,1995-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Patrick_Hunt_(basketball_coach)
Q41791927,Beryl Grant,"Australian nurse, community worker, and public servant",https://honours.pmc.gov.au/honours/awards/1136575,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1136575,2000-06-12T00:00:00Z,https://en.wikipedia.org/wiki/Beryl_Grant
Q42014530,Trevor St Baker,NA,https://honours.pmc.gov.au/honours/awards/1153705,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1153705,2016-06-13T00:00:00Z,https://en.wikipedia.org/wiki/Trevor_St_Baker
Q42290742,David Handelsman,Australian endocrinologist,https://honours.pmc.gov.au/honours/awards/2000670,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,2000670,2018-01-26T00:00:00Z,https://en.wikipedia.org/wiki/David_Handelsman
Q42409570,Vicki O'Halloran,Australian businesswoman; Administrator of the Northern Territory,https://honours.pmc.gov.au/honours/awards/1148962,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,1148962,2014-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Vicki_O'Halloran
Q42409570,Vicki O'Halloran,Australian businesswoman; Administrator of the Northern Territory,https://honours.pmc.gov.au/honours/awards/2004928,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,2004928,2019-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Vicki_O'Halloran
Q42497555,Jane Mathews,Australian judge,https://honours.pmc.gov.au/honours/awards/1135882,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1135882,2005-06-13T00:00:00Z,https://en.wikipedia.org/wiki/Jane_Mathews
Q42560921,Yasmine Gooneratne,Sri Lankan poet and writer,https://honours.pmc.gov.au/honours/awards/870275,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,870275,1990-06-11T00:00:00Z,https://en.wikipedia.org/wiki/Yasmine_Gooneratne
Q42947998,Georgina V. Long,Australian melanoma oncologist and researcher,https://honours.pmc.gov.au/honours/awards/2007202,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,2007202,2020-06-07T00:00:00Z,https://en.wikipedia.org/wiki/Georgina_Long
Q43378568,Monika Schmidt,Australian judge,https://honours.pmc.gov.au/honours/awards/2004559,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,2004559,2019-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Monika_Schmidt
Q43379548,Ian Allison,climate scientist and glaciologist,https://honours.pmc.gov.au/honours/awards/1149932,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1149932,2014-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Ian_Allison_(scientist)
Q43380459,Matthew Collins,NA,https://honours.pmc.gov.au/honours/awards/2004551,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,2004551,2019-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Matthew_Collins_(barrister)
Q43462367,Nick Xynias,NA,https://honours.pmc.gov.au/honours/awards/872659,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,872659,2001-06-11T00:00:00Z,https://en.wikipedia.org/wiki/Nick_Xynias
Q43565590,Gary Lynagh,Australian rower,https://honours.pmc.gov.au/honours/awards/887619,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,887619,1995-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Gary_Lynagh
Q43819716,Margaret Nyland,Australian judge,https://honours.pmc.gov.au/honours/awards/1057684,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,1057684,2005-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Margaret_Nyland
Q43900835,Minoti Apte,medical researcher,https://honours.pmc.gov.au/honours/awards/1150164,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1150164,2014-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Minoti_Apte
Q44168088,Robyn Layton,Australian judge,https://honours.pmc.gov.au/honours/awards/1145060,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1145060,2012-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Robyn_Layton
Q44754645,Marilyn Anderson,Australian scientist and entrepreneur in the area of biochemistry and plant molecular biology,https://honours.pmc.gov.au/honours/awards/1152661,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1152661,2016-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Marilyn_Anderson
Q44880023,Patsy Wolfe,Australian judge,https://honours.pmc.gov.au/honours/awards/1149989,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1149989,2014-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Patsy_Wolfe
Q45082179,Dorothy Braxton,journalist and U3A educator,https://honours.pmc.gov.au/honours/awards/881498,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,881498,2001-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Dorothy_Braxton
Q45328747,Sam Coffa,Australian weightlifter,https://honours.pmc.gov.au/honours/awards/886231,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,886231,1988-06-13T00:00:00Z,https://en.wikipedia.org/wiki/Sam_Coffa
Q45739587,Alison McCusker,Australian botanist (1933-2015),https://honours.pmc.gov.au/honours/awards/1141177,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1141177,2009-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Alison_McCusker
Q46090737,Caroline Bowen,New Zealand speech therapist,https://honours.pmc.gov.au/honours/awards/2000800,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,2000800,2018-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Caroline_Bowen
Q46255844,Natalie King,Australian curator,https://honours.pmc.gov.au/honours/awards/2006716,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,2006716,2020-06-07T00:00:00Z,https://en.wikipedia.org/wiki/Natalie_King
Q46956609,Helen Herrman,Australian psychiatrist,https://honours.pmc.gov.au/honours/awards/1769688,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1769688,2017-06-12T00:00:00Z,https://en.wikipedia.org/wiki/Helen_Herrman
Q46993229,Heather Mitchell,NA,https://honours.pmc.gov.au/honours/awards/884674,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,884674,1991-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Heather_Mitchell_(farmer)
Q46998923,Nina Christesen,Russian-Australian academic,https://honours.pmc.gov.au/honours/awards/881373,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,881373,1987-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Nina_Christesen
