wikipediaPageID,name,pageCreation
4555546,Kerryn Phelps,2006-03-29
19871679,John Carmichael composer,2008-10-21
35665705,Steve Smith general,2012-04-30
896430,Adam Gilchrist,2004-08-12
5231612,James Halliday wine,2006-05-21
39213661,Dianne Hiles,2013-04-25
4295366,Michael Hodgman,2006-03-06
11681653,Roderick Weir Home,2007-06-09
15109232,Martin Copley,2008-01-08
19894003,Linda Dessau,2008-10-22
591467,Greig Pickhaver,2004-04-12
48230545,Andrew Sayers,2015-10-15
24767342,Hossein Valamanesh,2009-10-21
3771258,John Mawurndjul,2006-01-19
6548212,George Palmer composer,2006-08-19
42671081,Raymond Todd,2014-05-05
31709064,Anne Jones writer,2011-05-07
1813101,Lewis Morley,2005-04-29
32433490,Tony Miller rugby union,2011-07-16
25940046,Patrick McGorry,2010-01-25
2217843,Gordon Parker psychiatrist,2005-07-12
12750689,Michael Rozenes,2007-08-13
1398304,Tony Rundle,2005-01-15
55111808,Vicki Sara,2017-09-01
38622807,John von Doussa,2013-02-24
17053012,Mark Binskin,2008-04-22
58276387,Robert Bell artist and curator,2018-08-26
18117685,Valerie Beral,2008-06-24
28913,Steve Bracks,2001-11-19
40263018,Harold Mitchell media buyer,2013-08-17
9778480,Michael McRobbie,2007-02-28
52736990,James Angus scientist,2016-12-31
3828583,JohnMichael Howson,2006-01-24
23140011,Cliff Green,2009-06-08
33256993,John Green Australian politician,2011-09-30
60265052,Alison McCusker,2019-03-18
31421443,Ian Leslie,2011-04-06
11014885,Alan Cadman,2004-03-28
53128389,Neil Betts,2017-02-08
12674965,Hugh Edwards journalist,2007-08-08
58066060,Helen Cutler,2018-08-04
22637112,Richard Schodde,2009-05-01
32226670,T J Ryan,2004-09-10
42487364,Jack Bendat,2014-04-14
27584096,Tate Adams,2010-06-03
11643172,John Hartley academic,2007-06-07
339820,Clive Hamilton,2003-10-13
4497359,David Hamill,2006-03-24
12734905,Arie Freiberg,2007-08-12
40714743,Geoffrey Eames,2013-10-05
15718381,Kurt Lambeck,2008-02-12
32583056,Bruce Edward Hobbs,2011-07-30
38404020,Irene Gleeson,2013-02-02
4637215,Peter Underwood,2006-04-05
48567207,Mary E White,2015-11-16
25822838,John Mansfield judge,2010-01-16
3656507,Pam Kilborn,2006-01-08
41263613,John McGrath Victorian politician,2013-12-04
42634993,John Messara,2014-05-01
58505857,Karen Louise Wilson,2018-09-17
25861806,Margaret Christensen,2010-01-19
2729141,Bruce Clarke musician,2005-09-22
23742928,John Anderson philosopher,2002-11-20
