value,wd
James Lawson (Australian doctor),Q6137871
Wellington Lee,Q15967993
Bob Merriman,Q22006841
Frank Murphy (public servant),Q19667435
Max Kay,Q64781096
Charles Francis (politician),Q21597839
Padraic McGuinness,Q7123909
Jeffrey Heath (Australian disability advocate),Q88760919
Chris Heyde,Q5106872
Charles Angas Hurst,Q5075146
Garry McDonald,Q5524187
Bob Day,Q4932238
Gary Gray (politician),Q5525157
Keith Mason (judge),Q6384716
George Roberts (aircraft engineer),Q19282145
Joe Schipp,Q6212229
Rosemary Owens,Q16202701
Michael Blakemore,Q15463660
George Paxinos,Q19876896
Rosemary Edna Sinclair,Q23682771
Ross Dunning,Q28428590
John Fahey (politician),Q1700035
Gordon Moyes,Q5585587
Maurice Newman,Q6793374
Carlo Salteri,Q5041602
Joe Baker (marine scientist),Q52352637
Ron Tauranac,Q173614
David Warren (inventor),Q540582
David Campese,Q1173922
Ron Christie (rail administrator),Q21064052
Andrew Gaze,Q504835
Keith Heritage,Q58815699
Rex Henry Morgan,Q7319209
Ian Maddocks,Q22006499
Julie Warn,Q18640549
Percy White,Q7167642
"Kevin Smith (footballer, born 1942)",Q19981262
Henry Nissen,Q16124068
Henri Szeps,Q1606025
John Hewson,Q1579545
Jeffrey Lucy,Q6176139
Peter Derham,Q7173641
Brendan Hansen (politician),Q4960915
Jean Brodie-Hall,Q52274576
Elery Hamilton-Smith,Q5359456
Myer Rosenblum,Q6947400
Clive Minton,Q5134631
Bill Kirby,Q1131581
Heath Francis,Q5693454
Greg Smith (Paralympian),Q5606266
Tania Modra,Q7683251
Siobhan Paton,Q622165
Noel Robins,Q7047189
Noel Robinson (writer),Q84974961
Adrian Grogan,Q4685069
Danielle Woodhouse,Q3702135
Natalie Cook,Q263886
Kerri Pottharst,Q442605
Paul Barnett (swimmer),Q7149241
Mark le Flohic,Q6770509
Rebecca Feldman,Q7301735
Matthew Gray (cyclist),Q6790588
Daniel Polson,Q5218465
Darren Harry,Q5224954
Brett Aitken,Q910668
Lisa McIntosh,Q3811771
Michael Klim,Q715561
Daniel Kowalski,Q558544
Todd Pearson,Q726401
Charles Batt,Q5075470
Donald Frederick Blaxell,Q4088436
Ian George,Q5981622
Patrick Donachie,Q7146379
Chris Fydler,Q726490
Grant Hackett,Q318982
Adam Pine,Q2280034
Cathy Freeman,Q234762
Ashley Callus,Q222892
John Downer,Q6230006
John Laurence Lambert,Q85846219
Athol Moffitt,Q4815626
Robert Evelyn Porter,Q47520370
Natalie Miller,Q63508202
Ian Johnston (doctor),Q5981919
Heini Becker,Q16096830
Peter Jones (Australian politician),Q27922653
Chris Sumner,Q5108195
John Horvath,Q96265016
Max Moore-Wilton,Q6795025
Clem Christesen,Q1100236
Bruce Goodluck,Q4977562
Ben Humphreys,Q4885879
Allan Langer,Q2837736
Joan Brassil,Q66785179
Berry Durston,Q56226254
John Kundereri Moriarty,Q6243494
Ray Parkin,Q7297930
Les Scheinflug,Q1820577
Peter Moore (travel author),Q7175940
Donnie Sutherland,Q5296695
Phil Rogers,Q2274284
John Harrower,Q6238009
Frank Farina,Q710474
Danielle McGrath,Q512658
Michael Maher (Australian politician),Q6832447
Tom Lewis (Australian politician),Q3525352
Jack Mundey,Q6114227
David Hunt (judge),Q5235260
Bruce Gyngell,Q4977596
Bill Crews (minister),Q4908613
Maria Skyllas-Kazacos,Q52004490
Edmund Collins,Q1286491
Ronald Harvey (administrator),Q7364925
Malcolm McIntosh,Q16745007
Bruce William Stillman,Q991815
Diana Temple,Q60480350
Jiro Kikkawa,Q6203088
John Eales,Q926351
Trevor Flugge,Q7839151
John McCarthy (Australian diplomat),Q6247459
Sol Bellear,Q20675976
David Tudehope,Q53870574
Suzanne Cory,Q1231087
Suzanne Cory High School,Q7650807
Paul Rigby,Q7153232
Christopher Roper (legal educator),Q5113163
John Moule (politician),Q21070016
John Lord (admiral),Q55615211
Jack Butcher,Q6111496
William Dunn (South Australian politician),Q23585445
Ben Cropp,Q2143011
Kim Westwood,Q6409561
William James Browne,Q8013438
Kaarene Fitzgerald,Q17309026
John Hatton (politician),Q6238244
Leo Williams (rugby union),Q6524330
"Sir Rupert Clarke, 3rd Baronet",Q7528923
Frank Ford (theatre personality),Q5486661
John Millett (poet),Q16088963
Philip Bacon,Q65684080
Harold Burnell Carter,Q28843017
Joan Maie Freeman,Q21531658
Richard Mills (composer),Q7327820
"Robert May, Baron May of Oxford",Q336397
Michael Noonan (Australian writer),Q6833091
Geoffrey Edwin Summerhayes,Q5534589
Stuart Wagstaff,Q7627198
Nora Heysen,Q3878307
Martin Wesley-Smith,Q6776869
Fred Hilmer,Q5495456
Slim Dusty,Q607807
James Wright (doctor),Q28756465
Bruce Cowan,Q2313174
Jennifer Cashmore,Q6178185
John Ravenhall,Q27975272
Miriam-Rose Ungunmerr-Baumann,Q26705245
John Prior (musician),Q6253448
William Wright (Australian bishop),Q1724921
Stanislawa Dabrowski,Q7599087
Paul Couvret,Q7149989
Ken Lowrie,Q16019453
Max Leroy Davis,Q1912952
Rolf Prince,Q62606807
Norman Rothfield,Q17403902
Michael Black (judge),Q6828675
Peter Hamilton Bailey,Q39649457
Murray Tobias,Q16105234
Alf Howard,Q4721699
John Harber Phillips,Q6237692
Kenneth Wiltshire,Q6390837
Bob Francis (radio presenter),Q4932458
H. Rodney Withers,Q5628527
Mick Palmer (police commissioner),Q29053711
Timothy McLaren,Q14030673
John R. Philip,Q6253969
Danni Roche,Q5219428
Russell Mark,Q3357486
Richard Oliver (Paralympian),Q7328163
Megan Marcks,Q6808700
Kate Slatter,Q6375789
Drew Ginn,Q1258722
Alyson Annan,Q275287
Tim Matthews (athlete),Q7803910
David Evans (athlete),Q5233459
Mark Woodforde,Q360630
Melissa Carlton,Q6812658
Peter Parrott,Q2077437
Ron Hovey,Q7363941
Christopher Scott (cyclist),Q5113208
Troy Andrews (basketball),Q7846748
Michael Diamond (sport shooter),Q1927297
Kingsley Bugarin,Q6413289
Kerry Golding,Q6394531
Orfeo Cecconato,Q7101702
Ian Craig,Q5981297
Timothy Maloney,Q7807384
Troy Sachs,Q7846940
Michelle Andrews,Q6836903
Julie Nykiel,Q3811117
Barbara Worley,Q16095937
Eric Richardson (Australian footballer),Q22019294
David Theile,Q1176824
Roger Goldsworthy (politician),Q16091192
Fred Chaney,Q15462333
Kerry Sibraa,Q6394660
Charlotte Anderson,Q5085828
Bob Bottom,Q4931883
Peter C. Doherty,Q309814
Bill Ludwig,Q4909968
William Gummow,Q8010270
Udo Sellbach,Q16017567
Milan Hudecek,Q6850561
Jack Hyett,Q6113281
Harry C. Giese,Q16014871
George Deas Brown,Q16089648
Albert Ullin,Q56604364
Liz Mullinar,Q6660251
Frankie Davidson,Q63993347
Paul Fitzgerald (painter),Q7150652
Richard Letts,Q7327351
Evan Walker (politician),Q17402546
Moya Henderson,Q6927578
Madonna Staunton,Q67090439
Ken Scarlett,Q6388442
Joyce Stevens,Q33100363
Dale Spender,Q5210637
Roger Powell (general),Q16734678
Joan Paton,Q6205350
Mal Logan,Q6740616
Anne Boyd,Q2607573
Tim Burstall,Q7803256
Bruce Eastick,Q16090285
Michael Keating (public servant),Q16105381
Ian Rogers (chess player),Q1362091
Paul Wade,Q2056384
Harry Thompson (Australian footballer),Q16066762
Michael Norton (skier),Q6833102
Don Hopgood,Q16104885
Catherine Hamlin,Q524423
Carl Wood,Q692611
Stewart Cockburn,Q87773545
Yoram Gross,Q54855
Joe Riordan,Q16019536
Frank Mossfield,Q5488558
Robert Richardson (RAAF officer),Q16105750
Ian Kiernan,Q5981978
Jim Brown (New South Wales politician),Q6193859
Mollie Gillen,Q2597215
"Jack Roberts (footballer, born 1867)",Q15996157
Irene Moss,Q6069158
Concetta Benn,Q25262266
Christopher Koch,Q1086776
John Curro,Q6227951
Elizabeth Cameron Dalman,Q18389591
Raymond Boultwood Ewers,Q7298611
Max Germaine,Q16864449
Lex Marinos,Q6537578
Mervyn Ashmore Smith,Q18166179
Marian Sawer,Q59159519
Eva Burrows,Q1022204
Douglas Vincent (Australian Army officer),Q5302064
Kamahl,Q2885132
John Brown (servant),Q637377
Tom Cole (stockman),Q26785088
John Sanderson,Q3182423
Guy Green (judge),Q951576
Elliott Johnston,Q5365675
Doone Kennedy,Q18187065
Thomas Reeves (VC),Q7793455
Susan Pond,Q52424196
Harry Holgate,Q16013862
Bill Grayden,Q4909203
Kevin Cullen (doctor),Q56293215
Lorraine Dennerstein,Q19872829
Norm Foster (politician),Q16017391
Warwick Forbes,Q41298250
Mark Richards (surfer),Q1470097
Jim Peacock,Q6197418
Norman Tindale,Q2119932
Susie Maroney,Q7649045
Dorothy Hill,Q3037171
Dorothy Hill Medal,Q60756218
Shirley Jeffrey,Q17516072
Ray Whitrod,Q7298286
Stephen Hawkins,Q7609448
Clint Robinson (canoeist),Q2979342
Kieren Perkins,Q362197
Noel Hush,Q1995372
Jim Furner,Q19975877
Sam Lipski,Q7407796
Robin Hughes (filmmaker),Q78099898
James Gobbo,Q935115
Bob Cotton,Q4932144
David Malet Armstrong,Q1173590
Leonie Kramer,Q6526614
Kevin Ryan (rugby),Q6397413
Max Hooper,Q23913399
Heather Innes,Q47456181
Ted Egan,Q7693161
Patricia Brennan,Q7145481
Peter Fritz,Q7174103
June Dally-Watkins,Q6312262
David Tonkin,Q3018895
George Ivan Smith,Q5540976
Barry Tuckwell,Q809108
George Dreyfus,Q869751
John Williamson (singer),Q1702184
Jill Perryman,Q6193008
Eric Charles Rolls,Q76840007
Bruce Dawe,Q4977359
Leonard Teale,Q6525783
Don Charlwood,Q5292412
Ade Monsbourgh,Q56811718
Max Dupain,Q3033453
Joseph Stanislaus Ostoja-Kotkowski,Q6287144
Jean Skuse,Q87996521
Phyllis Frost,Q7188556
Jim Molan,Q6196985
Donald Chalmers,Q5294160
John Canny,Q6225059
John Coates (general),Q6226435
Peter Arnison,Q472596
Henry Oliver Lancaster,Q28059118
Maureen Brunt,Q28219596
David Malcolm,Q13522497
Arthur Gietzelt,Q4798812
Don Grimes,Q5292712
Ian Wood (politician),Q5983311
Ainslie Sheil,Q4697493
Alf Rattigan,Q16745033
Thomas Alexander Johnson,Q19664705
Sidney Robert Freshwater,Q19878972
John Alexander (Australian politician),Q1281683
David Roderick Curtis,Q21165887
Dean Mercer,Q38065570
Kerry Saxby-Junna,Q442173
Wilma Shakespear,Q40510890
Allen Kerr,Q4731736
Edward Clancy (cardinal),Q547158
Barry Hunter (bishop),Q4864327
Nick Farr-Jones,Q3339743
John Grant (neurosurgeon),Q15993028
Maude Bonney,Q6792288
Peter Abeles,Q7172454
John Cornforth,Q135154
Darrel Baldock,Q3016466
Donald Dunstan (governor),Q1239715
Pat Galvin (public servant),Q19873615
David Sadleir,Q18166305
Ted Pocock,Q23008595
Roger Shipton,Q7358908
Clarrie Millar,Q5127765
Michael Kirby (judge),Q6831895
Tony Fitzgerald,Q7822344
Roma Mitchell,Q515889
Thomas Reynolds (Australian politician),Q7793485
James Howard Browne,Q6136300
Anthony Judge,Q4772860
Johnny Ashcroft,Q6266260
Philip Cox,Q7183384
Bill Wells (footballer),Q20880414
Freda Glynn,Q72815853
Dorothy Ross (activist),Q17404074
Henry Bosch,Q5718394
Justine Saunders,Q2252671
Bea Maddock,Q4875661
Patricia Scott (public servant),Q17054992
Geoffrey Parsons (pianist),Q326911
Margaret Somerville,Q962122
John Oldham (architect),Q6251198
Nick Waterlow,Q7028122
Tony Rafty,Q1322680
Max Gillies,Q6794794
Peter Sculthorpe,Q924162
Albert Arlen,Q4709647
John Gandel,Q6234806
Roberta McRae,Q7351525
Archie Barton,Q13393125
Ralph Elliott,Q2129584
Paddy Roe,Q7123615
Pat Turner (Aboriginal activist),Q56102085
Richard Bomball,Q28530129
Ian Cooper (violinist),Q5981281
Elizabeth Catherine Usher,Q47035000
Isabel McBryde,Q19593762
John Eccles (neurophysiologist),Q273223
T. Harri Jones,Q15460120
Ralph Hunt (Australian politician),Q7287672
Murray Hill (politician),Q18808326
Laurie Kelly Sr.,Q6501623
Laurie Kelly (politician),Q6501627
Mick Young,Q15500212
Kathleen Taperell,Q17198785
Lindsay Thompson,Q3241453
Rosemary Goldie,Q1411381
John Boultbee (sport administrator),Q6222571
Frank Arok,Q5485058
Nancy Bird Walton,Q6962560
Western Sydney Airport,Q16903158
Kay Cottee,Q4568202
John Lewis (Bishop of North Queensland),Q6244734
Jon Muir,Q6271279
Peter Sterling (rugby league),Q3376893
Gretna Margaret Weste,Q21612514
William A. Bradfield,Q322706
Noel Vose,Q80474071
Alan Woods (public servant),Q16012545
Walter Campbell (judge),Q465245
Tony Blunn,Q16104395
Adrien Albert,Q4685639
Mal Bryce,Q16106193
Barry O'Keefe,Q16939466
Frank Fenner,Q714609
Charles Henry Grant,Q16030478
John Young (jurist),Q6265212
Louis Waller,Q6688356
Fay Gale,Q5438912
Deirdre Jordan,Q5252572
Robert Marsden Hope,Q15485366
Sydney Taylor,Q7660168
Sydney Taylor Book Award,Q2373772
Derek Fuller Wrigley,Q5261976
Allan Roy Sefton,Q4730948
Joan Winch,Q26236261
Llew Edwards (politician),Q16096978
Milton Morris,Q6861349
Don Laidlaw,Q18645771
David Andrew,Q5230778
Les Murray (poet),Q259841
Kathleen Fitzpatrick (Australian academic),Q6376704
Ann Newmarch,Q19276811
Janet Karin,Q6153421
Romaldo Giurgola,Q3036213
Clement Semmler,Q5131405
Jiří Tancibudek,Q6203829
Philip Cox,Q7183384
Geoffrey Chard,Q5534510
Thelma Clune,Q78315337
Judy Cassab,Q6304372
Trevor Swan,Q7839452
Brian Johns (businessman),Q21908103
Brian Gibson (politician),Q4963837
Eve Mahlab,Q5416183
Quentin Bryce,Q229300
Peter Hollingworth,Q1354229
Clare Stevenson,Q5126256
John Friedrich (fraudster),Q6234260
Barrie West,Q4863534
Ralph Sarich,Q7288063
William Deane,Q267745
Nigel Bowen,Q1563218
Gerard Brennan,Q3778295
Peter Scott (canoeist),Q7176832
Ron Casey (Sydney broadcaster),Q7363611
David David (surgeon),Q85171499
David Penington,Q5238499
Colin Jamieson,Q5145237
Neville Wran,Q1429468
William Heseltine,Q8012278
Robert Evans (astronomer),Q944851
Max Basheer,Q6794560
Neale Fraser,Q715173
John Avery (police officer),Q16106169
William Edward Murray,Q462703
Ingo Renner,Q3150949
Dale Caterson,Q47306756
Ion Popa (rower),Q6063285
Andrew Cooper,Q4756670
Richard Carter (actor),Q7324644
Peter Antonie,Q2073706
James Tomkins (rower),Q1681200
Adair Ferguson,Q38363893
Keith Rayner,Q6384932
Lawrence Alexander Sidney Johnson,Q3090721
Arthur Birch (organic chemist),Q708668
Fred Grimwade,Q5495315
James Wolfensohn,Q504387
Bill Collins (television presenter),Q4908529
Nina Christesen,Q46998923
Ronald Berndt,Q1540235
Raymond Martin (academic),Q7298992
Catherine Berndt,Q5052541
Freda Whitlam,Q56433757
Phyllis Duguid,Q47523498
Ian Gawler,Q5981618
Harry Dean (politician),Q16013822
Charles Perkins (Aboriginal activist),Q1065753
Carla Zampatti,Q5041122
Cedar Prest,Q16105457
Bruce Petty,Q4978139
Jan Sedivka,Q6149886
Don Burrows,Q1238986
Fred Parslow,Q28655886
John Cargher,Q6225137
David Malouf,Q506430
Kenneth Jack,Q15489452
Eric Bogle,Q543737
Peter Elliott (bishop),Q2076062
John Williams (guitarist),Q370293
Peter Orlebar Bishop,Q21165195
Nicholas Hasluck,Q13494301
Anne Bower Ingram,Q27506019
Roger Covell,Q7358034
Dorothy Hewett,Q201433
Claire Dan,Q5125178
Arnold Drury,Q4795020
Isabel Flick,Q21597837
Derek Deighton,Q21996944
Peter Finch,Q294454
Xavier Connor,Q8043222
Victor Chang,Q3557223
Jack Wright (politician),Q16014216
Kenneth Chan (rower),Q47348920
David Smith (public servant),Q5239905
Germaine Joplin,Q5550997
Isabel Joy Bear,Q84864810
Brian Tobin (tennis),Q202053
Tony Mundine (boxer),Q7823034
Tom Bellew,Q27044064
Paul Wild (Australian scientist),Q742571
John Henry Carver,Q6238764
Norman Oakes,Q17742181
Francis Peter de Campo,Q16014043
Rodney Johnson (sport shooter),Q20737682
Paul Hogan,Q296641
Hugh Gordon (parasitologist),Q16015490
Kevin Nichols,Q533741
Lindsay Gaze,Q2033551
Edwina Kennedy,Q48063439
Martin Glaessner,Q1903849
Peter Henderson (Australian public servant),Q16090819
Lee Robinson (director),Q3228926
Don Cooley,Q81375148
Myra Roper,Q38081476
Peter Cosgrove,Q976974
David Martin (governor),Q5237169
Clarrie Hermes,Q26179605
Leycester Meares,Q6537982
Galarrwuy Yunupingu,Q5517966
Clifton Pugh,Q5133302
Ursula Hoff,Q7901244
Lloyd Rees,Q3257539
Neville Gruzman,Q7004704
Frank Moorhouse,Q305402
Colin Madigan,Q5145318
Inge King,Q70193
Albert Tucker (artist),Q3631144
Thomas William Holmes,Q7795152
Alexander Clifford Beauglehole,Q16744919
Arnold Robert McGill,Q4795223
David Butler (general),Q5231970
Stephen FitzGerald (diplomat),Q22277799
Rupert Murdoch,Q53944
Charles Jones (Australian politician),Q5079574
Jim Scully (public servant),Q18166458
Russell Ebert,Q7381483
Gil Langley,Q5560556
Will Baillieu,Q56192126
Peter Costello,Q2546246
Myer Kangan,Q24056130
William Albany McKenzie,Q28655346
Kerry Packer,Q1412816
Joyce Nicholson,Q6297597
John Manning Ward,Q15438926
Allan McFarlane,Q4730837
Vivienne Binns,Q7937875
David Williamson,Q968980
R. D. Fitzgerald,Q7273560
Peter McIntyre (architect),Q7175790
"Maie Casey, Baroness Casey",Q6735545
John Roslyn Garnet,Q6453231
David McLeish,Q5237421
Charles Fenton,Q16018429
Syd Einfeld,Q7659676
Des Corcoran,Q5263447
Kath Anderson,Q6376053
John Bunting (diplomat),Q6223855
Geoff Hunt,Q471139
Fos Williams,Q5473318
Marshall Hatch,Q466004
John Rowland (diplomat),Q22696620
Jacques Miller,Q253133
Geoff Virgo,Q5534356
Ian Reay Mackay,Q5982670
Harry Krantz,Q16017463
Kevin McDonald (rugby league),Q18217679
Ivan Southall,Q1347607
A. D. Hope,Q325890
Isador Goodman,Q6078349
Dymphna Cusack,Q101871
Beatrice Deloitte Davis,Q4877142
Jack Lindsay,Q3378541
Franca Arena,Q5478235
Claude Ewen Cameron,Q19757791
Peter Hogarth Doyle,Q54299050
Alf Garland,Q4721679
Laurie Short,Q6501719
Max Fatchen,Q6794747
Joan Long,Q6205234
Norman Makin,Q7052568
Harold David Anderson,Q30574404
Bob Marshall (billiards player),Q4933267
Doris Magee,Q58866321
James Gleeson (bishop),Q6134676
Ken Rosewall,Q312728
Kim Beazley Sr.,Q2266155
Jack Renshaw,Q1677180
Frank Wise,Q5490450
Douglas Peel Gordon,Q18715751
Bob Hawke,Q269372
William George Walker,Q8009818
Clem Renouf,Q30537371
William Sutherland (physicist),Q2580687
Nancy Keesing,Q15497177
Margel Hinder,Q514082
Max Angus,Q24706320
Hal Missingham,Q5640866
Ian McBryde (South Australian politician),Q68110462
Brian Murray (governor),Q912831
John Crawford (economist),Q6227536
James Plimsoll,Q1680992
Macfarlane Burnet,Q193550
Harold Brennan,Q5660158
Winifred Curtis,Q452813
Bert Shard,Q18808899
John Armstrong (Australian politician),Q6219385
Albert Thompson (Australian politician),Q4711324
Samuel Warren Carey,Q195313
Allen Axel Strom,Q16750345
Eleanor Dark,Q517286
John Shaw (sailor),Q6257492
Ken Myer,Q6388209
Felix Werder,Q5442362
Alan McLeod McCulloch,Q4707300
Raymond Hanson (composer),Q7298835
Harold Blair,Q3127581
William Henderson (general),Q22696670
Eric Underwood,Q5387660
Arthur Dale Trendall,Q709072
Peter Karmel,Q7175094
John Cade,Q3181170
Tom Critchley,Q4241364
Francis Patrick Donovan,Q16019364
Cecil Purdy,Q779025
Clem Jones,Q5131180
Bert Newton,Q4895246
Jenny Kee,Q13606850
