wpURL,wikipediaPageID,name,pageCreation,wikidataID,name2
https://en.wikipedia.org/wiki/Cliff_Young_(athlete),7376363,Cliff Young (athlete),2006-10-10,Q1101186,Cliff Young
https://en.wikipedia.org/wiki/Clive_Hamilton,339820,Clive Hamilton,2003-10-13,Q1101957,Clive Hamilton
https://en.wikipedia.org/wiki/Clive_Lloyd,624962,Clive Lloyd,2004-04-29,Q1101987,Clive Lloyd
https://en.wikipedia.org/wiki/Clyde_Cameron,2861963,Clyde Cameron,2005-10-08,Q1103607,Clyde Cameron
https://en.wikipedia.org/wiki/Colin_L._Masters,58130411,Colin L. Masters,2018-08-13,Q1108510,Colin L. Masters
https://en.wikipedia.org/wiki/Colin_Thiele,1707546,Colin Thiele,2005-04-08,Q1108703,Colin Thiele
https://en.wikipedia.org/wiki/John_Truscott,20854298,John Truscott,2008-12-27,Q1117915,John Truscott
https://en.wikipedia.org/wiki/Bill_Kirby,5070389,Bill Kirby,2006-05-09,Q1131581,Bill Kirby
https://en.wikipedia.org/wiki/Mick_Fanning,9624799,Mick Fanning,2007-02-21,Q1140016,Mick Fanning
https://en.wikipedia.org/wiki/Jacques_Miller,2267756,Jacques Miller,2005-07-19,Q253133,Jacques Miller
https://en.wikipedia.org/wiki/Mike_Chapman,3975857,Mike Chapman,2006-02-06,Q254385,Mike Chapman
https://en.wikipedia.org/wiki/Emma_Snowsill,4430600,Emma Snowsill,2006-03-18,Q257049,Emma Snowsill
https://en.wikipedia.org/wiki/Alex_Chernov,9804900,Alex Chernov,2007-03-02,Q259774,Alex Chernov
https://en.wikipedia.org/wiki/Les_Murray_(poet),3194103,Les Murray (poet),2004-09-21,Q259841,Les Murray
https://en.wikipedia.org/wiki/Geraldine_Brooks_(writer),1179445,Geraldine Brooks (writer),2004-11-17,Q260011,Geraldine Brooks
https://en.wikipedia.org/wiki/Michael_Clyne,5803356,Michael Clyne,2006-07-02,Q260236,Michael Clyne
