wikipediaURL,fullName
https://en.wikipedia.org/wiki/Deepak_Vinayak,Deepak Vinayak
https://en.wikipedia.org/wiki/Joseph_Assaf,Joseph Assaf
https://en.wikipedia.org/wiki/Dawn_Fraser,Dawn Fraser
https://en.wikipedia.org/wiki/Dawn_Fraser_Swimming_Pool,Dawn Fraser Swimming Pool
https://en.wikipedia.org/wiki/Anne_Wills,Anne Wills
https://en.wikipedia.org/wiki/David_Cooper_(immunologist),David Cooper (immunologist)
https://en.wikipedia.org/wiki/Kathryn_Harby-Williams,Kathryn Harby-Williams
https://en.wikipedia.org/wiki/John_Hatzistergos,John Hatzistergos
https://en.wikipedia.org/wiki/Phillip_Thompson,Phillip Thompson
https://en.wikipedia.org/wiki/Ronald_Eric_Johnstone,Ronald Eric Johnstone
https://en.wikipedia.org/wiki/Roberta_Shepherd,Roberta Shepherd
https://en.wikipedia.org/wiki/Suzanne_Chambers,Suzanne Chambers
https://en.wikipedia.org/wiki/Shurlee_Swain,Shurlee Swain
https://en.wikipedia.org/wiki/Catherine_Branson,Catherine Branson
https://en.wikipedia.org/wiki/Gillian_Aldridge,Gillian Aldridge
https://en.wikipedia.org/wiki/Andrew_Murray_(Australian_politician),Andrew Murray (Australian politician)
https://en.wikipedia.org/wiki/John_Sharp_(Australian_politician),John Sharp (Australian politician)
https://en.wikipedia.org/wiki/Noel_Kelly_(rugby_league),Noel Kelly (rugby league)
https://en.wikipedia.org/wiki/Robin_Creyke,Robin Creyke
https://en.wikipedia.org/wiki/Geoffrey_Burnstock,Geoffrey Burnstock
https://en.wikipedia.org/wiki/Brian_Owler,Brian Owler
https://en.wikipedia.org/wiki/Sever_Sternhell,Sever Sternhell
https://en.wikipedia.org/wiki/Susan_M._Butler,Susan M. Butler
https://en.wikipedia.org/wiki/Terri_Cater,Terri Cater
https://en.wikipedia.org/wiki/Susan_Provan,Susan Provan
https://en.wikipedia.org/wiki/Erica_Smyth,Erica Smyth
https://en.wikipedia.org/wiki/San_Thang,San Thang
https://en.wikipedia.org/wiki/Jeremy_Fisher_(author),Jeremy Fisher (author)
https://en.wikipedia.org/wiki/Paul_Broughton,Paul Broughton
https://en.wikipedia.org/wiki/Keri_Craig-Lee,Keri Craig-Lee
https://en.wikipedia.org/wiki/Daryl_Melham,Daryl Melham
https://en.wikipedia.org/wiki/John_Marshall_(swimmer),John Marshall (swimmer)
https://en.wikipedia.org/wiki/Ann_Carr-Boyd,Ann Carr-Boyd
https://en.wikipedia.org/wiki/John_B._Biggs,John B. Biggs
https://en.wikipedia.org/wiki/Richard_Francis-Bruce,Richard Francis-Bruce
https://en.wikipedia.org/wiki/Michael_Ebeid,Michael Ebeid
https://en.wikipedia.org/wiki/Peter_De_Waal,Peter De Waal
https://en.wikipedia.org/wiki/Anne_Warner_(politician),Anne Warner (politician)
https://en.wikipedia.org/wiki/Kathryn_Toohey,Kathryn Toohey
https://en.wikipedia.org/wiki/M._C._Ricklefs,M. C. Ricklefs
https://en.wikipedia.org/wiki/Ian_Robinson_(Australian_politician),Ian Robinson (Australian politician)
https://en.wikipedia.org/wiki/John_McLaren_(cricketer),John McLaren (cricketer)
https://en.wikipedia.org/wiki/Joe_Tripodi,Joe Tripodi
https://en.wikipedia.org/wiki/Cate_Blanchett,Cate Blanchett
https://en.wikipedia.org/wiki/Michael_Crouch,Michael Crouch
https://en.wikipedia.org/wiki/Ken_Freeman_(astronomer),Ken Freeman (astronomer)
https://en.wikipedia.org/wiki/Peter_Gago,Peter Gago
