id,label,url,description,matchText,PossibleAlias,wikiDataMatch,wikiAusMatch
Q2885132,Kamahl,//www.wikidata.org/wiki/Q2885132,Malaysian–Australian singer and entertainer,Kandiah Kamalesvaran,Kandiah Kamalesvaran,Y,Y
Q637377,John Brown,//www.wikidata.org/wiki/Q637377,Scottish personal servant and favourite of Queen Victoria,John Brown,NA,Y,Y
Q26785088,Tom Cole,//www.wikidata.org/wiki/Q26785088,"Australian labourer, stockman and author",Thomas Ernest Cole,Thomas Ernest Cole,Y,Y
Q3182423,John Sanderson,//www.wikidata.org/wiki/Q3182423,Governor of Western Australia,John Murray Sanderson,John Murray Sanderson,Y,Y
Q2534758,Peter Evans,//www.wikidata.org/wiki/Q2534758,"Australian swimmer, Olympic gold medallist",Peter Evans,NA,Y,Y
Q7173889,Peter Evans,//www.wikidata.org/wiki/Q7173889,Australian radio personality,Peter Evans,NA,Y,Y
Q951576,Guy Green,//www.wikidata.org/wiki/Q951576,Australian judge and Governor of Tasmania,Guy Stephen Montague Green,Guy Stephen Montague Green,Y,Y
Q5365675,Elliott Johnston,//www.wikidata.org/wiki/Q5365675,Australian judge,Elliott Frank Johnston,Elliott Frank Johnston,Y,Y
Q18187065,Doone Kennedy,//www.wikidata.org/wiki/Q18187065,Australian local government politician; Lord Mayor of Hobart,Lorna Doone Pleasance Kennedy,Lorna Doone Pleasance Kennedy,Y,Y
Q10382191,Thomas Reeve Kaiser,//www.wikidata.org/wiki/Q10382191,Australian astronomer and physicist,Thomas Reeve Kaiser,NA,Y,Y
Q7793455,Thomas Reeves,//www.wikidata.org/wiki/Q7793455,Recipient of the Victoria Cross,Thomas Reeves,NA,Y,Y
Q52424196,Susan Pond,//www.wikidata.org/wiki/Q52424196,Australian pharmacologist,Susan Margaret Pond,Susan Margaret Pond,Y,Y
Q16013862,Harry Holgate,//www.wikidata.org/wiki/Q16013862,Australian politician; Premier of Tasmania,Harold Norman Holgate,Harold Norman Holgate,Y,Y
Q4909203,Bill Grayden,//www.wikidata.org/wiki/Q4909203,Australian politician,William Leonard Grayden,William Leonard Grayden,Y,Y
Q56293215,Kevin Cullen,//www.wikidata.org/wiki/Q56293215,"Australian medical doctor, researcher, and winemaker",Kevin John Cullen,Kevin John Cullen,Y,Y
Q19872829,Lorraine Dennerstein,//www.wikidata.org/wiki/Q19872829,Australian scientist,Lorraine Dennerstein,NA,Y,Y
Q16017391,Norman Foster,//www.wikidata.org/wiki/Q16017391,Australian politician,Norman Kenneth Foster,Norman Kenneth Foster,Y,Y
Q41298250,Warwick Forbes,//www.wikidata.org/wiki/Q41298250,Australian men's gymnast and coach,Warwick Ian Forbes,Warwick Ian Forbes,Y,Y
Q1470097,Mark Richards,//www.wikidata.org/wiki/Q1470097,Australian surfer,Mark Richards,NA,Y,Y
Q6197418,Jim Peacock,//www.wikidata.org/wiki/Q6197418,Australian scientist,William James Peacock,William James Peacock,Y,Y
Q2119932,Norman Tindale,//www.wikidata.org/wiki/Q2119932,Australian biologist,Norman Barnett Tindale,Norman Barnett Tindale,Y,Y
Q7649045,Susie Maroney,//www.wikidata.org/wiki/Q7649045,Australian swimmer,Susan Jean Maroney,Susan Jean Maroney,Y,Y
Q3037171,Dorothy Hill,//www.wikidata.org/wiki/Q3037171,Australian geologist and palaeontologist,Dorothy Hill,NA,Y,Y
Q60756218,Dorothy Hill Medal,//www.wikidata.org/wiki/Q60756218,Australian award for earth sciences research by women,Dorothy Hill Medal,NA,Y,Y
Q17516072,Shirley Jeffrey,//www.wikidata.org/wiki/Q17516072,Australian marine biologist,Shirley Winifred Jeffrey,Shirley Winifred Jeffrey,Y,Y
Q7298286,Ray Whitrod,//www.wikidata.org/wiki/Q7298286,Australian police officer,Raymond Wells Whitrod,Raymond Wells Whitrod,Y,Y
Q7609448,Stephen Hawkins,//www.wikidata.org/wiki/Q7609448,Australian rower,Stephen Mark Hawkins,Stephen Mark Hawkins,Y,Y
Q2979342,Clint Robinson,//www.wikidata.org/wiki/Q2979342,Australian sprint kayaker and surf lifesaver,Clint David Robinson,Clint David Robinson,Y,Y
Q362197,Kieren Perkins,//www.wikidata.org/wiki/Q362197,Australian swimmer,Kieren John Perkins,Kieren John Perkins,Y,Y
Q1995372,Noel Hush,//www.wikidata.org/wiki/Q1995372,Australian chemist,Noel Sydney Hush,Noel Sydney Hush,Y,Y
Q19975877,Jim Furner,//www.wikidata.org/wiki/Q19975877,Australian military intelligence officer,James Osmond Furner,James Osmond Furner,Y,Y
Q7407796,Sam Lipski,//www.wikidata.org/wiki/Q7407796,Australian journalist,Sam Lipski,NA,Y,Y
Q78099898,Robin Hughes,//www.wikidata.org/wiki/Q78099898,Australian filmmaker,Robin Hughes,NA,Y,Y
Q935115,James Gobbo,//www.wikidata.org/wiki/Q935115,Australian judge and Governor of Victoria,James Augustine Gobbo,James Augustine Gobbo,Y,Y
Q4932144,Bob Cotton,//www.wikidata.org/wiki/Q4932144,Australian politician and diplomat,Robert Carrington Cotton,Robert Carrington Cotton,Y,Y
Q1173590,David Malet Armstrong,//www.wikidata.org/wiki/Q1173590,Australian philosopher,David Malet Armstrong,NA,Y,Y
Q6526614,Leonie Kramer,//www.wikidata.org/wiki/Q6526614,Australian academic,Leonie Kramer,NA,Y,Y
Q6397413,Kevin Ryan,//www.wikidata.org/wiki/Q6397413,Australian politician,Kevin Ryan,NA,Y,Y
Q23913399,Max Hooper,//www.wikidata.org/wiki/Q23913399,Australian politician,Maxwell David Hooper,Maxwell David Hooper,Y,Y
Q61188382,Bartz Schultz,//www.wikidata.org/wiki/Q61188382,Australian nurse,Ivy Bartz Schultz,Ivy Bartz Schultz,Y,Y
Q47456181,Heather Innes,//www.wikidata.org/wiki/Q47456181,Australian athletics competitor,Heather Innes,NA,Y,Y
Q7693161,Ted Egan,//www.wikidata.org/wiki/Q7693161,Australian singer,Edward Joseph Egan,Edward Joseph Egan,Y,Y
