"","id","label","url","description","matchText","PossibleAlias","wikiDataMatch"
"83","Q88009556","Ming-Long Yuan","//www.wikidata.org/wiki/Q88009556","researcher","Ming-Long Yuan",NA,"Y"
"84","Q90716274","Ming-Long Wu","//www.wikidata.org/wiki/Q90716274","researcher (ORCID 0000-0002-1230-8067)","Ming-Long Wu",NA,"Y"
"85","Q10059","Longqing Emperor","//www.wikidata.org/wiki/Q10059","emperor of the Ming Dynasty","Ming Longqing","Ming Longqing","Y"
"86","Q23771328","Belinda Hutchinson","//www.wikidata.org/wiki/Q23771328","University administrator, businesswoman and philanthropist","Belinda Jane Hutchinson","Belinda Jane Hutchinson","Y"
"87","Q21608566","Peter John Scott","//www.wikidata.org/wiki/Q21608566","botanist","Peter John Scott",NA,"Y"
"88","Q7437003","Scott Pape","//www.wikidata.org/wiki/Q7437003","Australian radio personality","Scott Pape",NA,"Y"
"89","Q953319","Scott Paper Company","//www.wikidata.org/wiki/Q953319","company","Scott Paper Company",NA,"Y"
"90","Q19026342","Scott Paper Company v. Marcalus Mfg Company","//www.wikidata.org/wiki/Q19026342","United States Supreme Court case","Scott Paper Company v. Marcalus Mfg Company",NA,"Y"
"91","Q31514976","Scott Paper Company Dam","//www.wikidata.org/wiki/Q31514976","dam in Washington County, Alabama, United States of America","Scott Paper Company Dam",NA,"Y"
"92","Q34921759","Scott Paper Company Lake Dam","//www.wikidata.org/wiki/Q34921759","dam in George County, Mississippi, United States of America","Scott Paper Company Lake Dam",NA,"Y"
"93","Q96114175","Diane Grady","//www.wikidata.org/wiki/Q96114175","Australian business executive","Diane Jennifer Grady","Diane Jennifer Grady","Y"
"94","Q96115463","Christine Christian","//www.wikidata.org/wiki/Q96115463","Australian finance executive","Christine Christian",NA,"Y"
"95","Q21208068","Christine Christiansen","//www.wikidata.org/wiki/Q21208068",NA,"Christine Christiansen",NA,"Y"
"96","Q18163015","Peter Turnbull","//www.wikidata.org/wiki/Q18163015","British author","Peter John Turnbull","Peter John Turnbull","Y"
"97","Q327908","Donald Griffin","//www.wikidata.org/wiki/Q327908","American zoologist","Donald Griffin",NA,"Y"
"98","Q16210276","Donald Griffin","//www.wikidata.org/wiki/Q16210276","Wikimedia disambiguation page","Donald Griffin",NA,"Y"
"99","Q5733241","Herb Wharton","//www.wikidata.org/wiki/Q5733241","Contemporary Indigenous Australian poet and novelist","Herbert Morsley Wharton","Herbert Morsley Wharton","Y"
"100","Q6769115","Mark Opitz","//www.wikidata.org/wiki/Q6769115","Australian record producer","Mark Opitz",NA,"Y"
"101","Q63995024","Rama Rao","//www.wikidata.org/wiki/Q63995024","Indian politician","Rama Rao",NA,"Y"
"102","Q21606909","Muttada Rama Rao","//www.wikidata.org/wiki/Q21606909","botanist","Rama Rao","Rama Rao","Y"
"103","Q42862690","Rama Rao Damerla","//www.wikidata.org/wiki/Q42862690","researcher","Rama Rao Damerla",NA,"Y"
"104","Q89349746","Rama Rao Karri","//www.wikidata.org/wiki/Q89349746","researcher","Rama Rao Karri",NA,"Y"
"105","Q84450869","Rama Rao Tata","//www.wikidata.org/wiki/Q84450869","researcher","Rama Rao Tata",NA,"Y"
"106","Q88444844","Rama Rao Amara","//www.wikidata.org/wiki/Q88444844","researcher","Rama Rao Amara",NA,"Y"
"107","Q65218900","Rama Rao Dattatarya Deshhmukh","//www.wikidata.org/wiki/Q65218900","Recipient of Kirti Chakra","Rama Rao Dattatarya Deshhmukh",NA,"Y"
"108","Q96115842","Denise Goldsworthy","//www.wikidata.org/wiki/Q96115842","Australian business executive","Denise Carol Goldsworthy","Denise Carol Goldsworthy","Y"
"109","Q5237397","David McKenzie","//www.wikidata.org/wiki/Q5237397","Australian politician","David Charles McKenzie","David Charles McKenzie","Y"
"110","Q91208571","Jaelea Skehan","//www.wikidata.org/wiki/Q91208571","researcher (ORCID 0000-0003-4854-7243)","Jaelea Skehan",NA,"Y"
"111","Q19755937","Matthew James Williamson","//www.wikidata.org/wiki/Q19755937","American actor","Matthew James Williamson",NA,"Y"
"112","Q75990369","William Thomas Brown","//www.wikidata.org/wiki/Q75990369","Peerage person ID=452463","William Thomas Brown",NA,"Y"
"113","Q8006012","William Brown","//www.wikidata.org/wiki/Q8006012","Tasmanian politician","William Thomas Brown","William Thomas Brown","Y"
"114","Q76097092","Peter John Foster","//www.wikidata.org/wiki/Q76097092","born 1976","Peter John Foster",NA,"Y"
"115","Q76276922","Peter John Foster","//www.wikidata.org/wiki/Q76276922","Peerage person ID=656976","Peter John Foster",NA,"Y"
"116","Q75838857","Sarah Louise Brown","//www.wikidata.org/wiki/Q75838857",NA,"Sarah Louise Brown",NA,"Y"
"117","Q75560428","Sarah Louise Brownrigg","//www.wikidata.org/wiki/Q75560428","born 1988","Sarah Louise Brownrigg",NA,"Y"
"118","Q3289980","Marcia Langton","//www.wikidata.org/wiki/Q3289980","Australian Aboriginal scholar and activist","Marcia Lynne Langton","Marcia Lynne Langton","Y"
"119","Q75436918","Robert John Shaw","//www.wikidata.org/wiki/Q75436918","(1831-1903)","Robert John Shaw",NA,"Y"
"120","Q7349729","Robert Shaw","//www.wikidata.org/wiki/Q7349729","English Royal Navy officer and cricketer","Robert John Shaw","Robert John Shaw","Y"
"121","Q76164829","Harold Sharp","//www.wikidata.org/wiki/Q76164829","(1895-1965)","Harold Sharp",NA,"Y"
"122","Q19599020","Harold Sharp","//www.wikidata.org/wiki/Q19599020","American judoka","Harold Sharp",NA,"Y"
"123","Q50308481","Harold Sharpe","//www.wikidata.org/wiki/Q50308481",NA,"Harold Sharpe",NA,"Y"
"124","Q1174581","David Paul Graham","//www.wikidata.org/wiki/Q1174581","British composer","David Paul Graham",NA,"Y"
"125","Q42165364","Peter W Johnson","//www.wikidata.org/wiki/Q42165364","researcher","Peter Johnson","Peter Johnson","Y"
"126","Q16014410","Peter Johnson","//www.wikidata.org/wiki/Q16014410","RAF officer, born 1908","Peter Johnson",NA,"Y"
"127","Q65931639","Peter Johnson","//www.wikidata.org/wiki/Q65931639","video game developer","Peter Johnson",NA,"Y"
"128","Q75400175","Peter Johnson","//www.wikidata.org/wiki/Q75400175","Peerage person ID=118350","Peter Johnson",NA,"Y"
"129","Q58424856","Peter Johnson","//www.wikidata.org/wiki/Q58424856","researcher ORCID ID = 0000-0003-4572-2915","Peter Johnson",NA,"Y"
